ticker	company	sector_name	avg_currency_correlation	avg_annual_return	exposure_category	interpretation	analysis_type	generated_at
601336.SS	New York Life Insurance	Insurance: Life, Health (Mutual)	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
MRK	Merck	Pharmaceuticals	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
PFIZER.NS	Pfizer	Pharmaceuticals	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
PFGC	Performance Food	Wholesalers: Food and Grocery	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
PEP	PepsiCo	Food Consumer Products	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
PAGP	Plains GP	Pipelines	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
ORCL	Oracle	Computer Software	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
NVDA	Nvidia	Semiconductors and Other Electronic Components	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
NKE	Nike	Apparel	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
MSFT	Microsoft	Computer Software	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
MS	Morgan Stanley	Commercial Banks	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
MPC	Marathon Petroleum	Petroleum Refining	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
IBM	IBM	Information Technology Services	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
META	Meta	Internet Services and Retailing	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
MET	MetLife	Insurance: Life, Health (Stock)	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
MCK	McKesson	Wholesalers: Health Care	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
LMT	Lockheed Martin	Aerospace & Defense	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
LLY	Eli Lilly	Pharmaceuticals	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
KR	Kroger	Food & Drug Stores	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
JPM	JPMorgan Chase	Commercial Banks	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
JNJ	Johnson & Johnson	Pharmaceuticals	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
INTC	Intel	Semiconductors and Other Electronic Components	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
PG	Procter & Gamble	Household and Personal Products	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
PGR	Progressive	Insurance: Property and Casualty (Stock)	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
PRU	Prudential Financial	Insurance: Life, Health (Stock)	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
PSX	Phillips 66	Petroleum Refining	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
X1G.PA	Lowe's	Specialty Retailers: Other	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
WMT	Walmart	General Merchandisers	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
WFC	Wells Fargo	Commercial Banks	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
VZ	Verizon	Telecommunications	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
VLO	Valero Energy	Petroleum Refining	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
UPS	UPS	Mail, Package and Freight Delivery	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
UNH	UnitedHealth	Health Care: Insurance and Managed Care	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
UIPMX	USAA	Insurance: Property and Casualty (Stock)	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
UAL	United Airlines	Airlines	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
TSN	Tyson Foods	Food Production	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
TSLA	Tesla	Motor Vehicles & Parts	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
TRV	Travelers	Insurance: Property and Casualty (Stock)	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
TJX	TJX	Specialty Retailers: Apparel	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
TILIX	TIAA	Insurance: Life, Health (Mutual)	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
TGT	Target	General Merchandisers	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
SYY	Sysco	Wholesalers: Food and Grocery	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
SNX	TD Synnex	Wholesalers: Electronics and Office Equipment	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
SNEX	StoneX	Diversified Financials	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
RTX	RTX	Aerospace & Defense	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
INGM	Ingram Micro	Wholesalers: Electronics and Office Equipment	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
HUM.ST	Humana	Health Care: Insurance and Managed Care	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
AAL	American Airlines	Airlines	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
BA	Boeing	Aerospace & Defense	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
COLA.WA	Coca-Cola	Beverages	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
CNC	Centene	Health Care: Insurance and Managed Care	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
CMCSA	Comcast	Telecommunications	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
CITI.NE	Citi	Commercial Banks	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
CI	Cigna	Health Care: Pharmacy and Other Services	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
CHTR	Charter Communications	Telecommunications	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
CAT	Caterpillar	Construction and Farm Machinery	0.0	0.0	Neutral	Minimal currency impact	currency_exposure	2025-11-24 19:01:11.037522
