sector_name	inflation_correlation	avg_return_high_inflation	avg_return_low_inflation	performance_difference	sensitivity_category	companies_analyzed	analysis_type	generated_at
Insurance: Life, Health (Mutual)	0	0	0.0	0.0	Neutral - Minimal inflation impact	2	inflation_sensitivity	2025-11-24 20:42:24.995459
Network and Other Communications Equipment	0	0	0.0	0.0	Neutral - Minimal inflation impact	1	inflation_sensitivity	2025-11-24 20:42:25.002812
Petroleum Refining	0	0	0.0	0.0	Neutral - Minimal inflation impact	5	inflation_sensitivity	2025-11-24 20:42:25.003158
Entertainment	0	0	0.0	0.0	Neutral - Minimal inflation impact	1	inflation_sensitivity	2025-11-24 20:42:25.003405
Pipelines	0	0	0.0	0.0	Neutral - Minimal inflation impact	3	inflation_sensitivity	2025-11-24 20:42:25.003771
Motor Vehicles & Parts	0	0	0.0	0.0	Neutral - Minimal inflation impact	3	inflation_sensitivity	2025-11-24 20:42:25.004112
Mail, Package and Freight Delivery	0	0	0.0	0.0	Neutral - Minimal inflation impact	2	inflation_sensitivity	2025-11-24 20:42:25.004366
Health Care: Medical Facilities	0	0	0.0	0.0	Neutral - Minimal inflation impact	1	inflation_sensitivity	2025-11-24 20:42:25.004606
Specialty Retailers: Other	0	0	0.0	0.0	Neutral - Minimal inflation impact	2	inflation_sensitivity	2025-11-24 20:42:25.004852
Information Technology Services	0	0	0.0	0.0	Neutral - Minimal inflation impact	1	inflation_sensitivity	2025-11-24 20:42:25.005097
Wholesalers: Electronics and Office Equipment	0	0	0.0	0.0	Neutral - Minimal inflation impact	2	inflation_sensitivity	2025-11-24 20:42:25.005347
Insurance: Life, Health (Stock)	0	0	0.0	0.0	Neutral - Minimal inflation impact	2	inflation_sensitivity	2025-11-24 20:42:25.005610
Computer Software	0	0	0.0	0.0	Neutral - Minimal inflation impact	2	inflation_sensitivity	2025-11-24 20:42:25.005846
Apparel	0	0	0.0	0.0	Neutral - Minimal inflation impact	1	inflation_sensitivity	2025-11-24 20:42:25.006093
Food Consumer Products	0	0	0.0	0.0	Neutral - Minimal inflation impact	1	inflation_sensitivity	2025-11-24 20:42:25.006333
Wholesalers: Food and Grocery	0	0	0.0	0.0	Neutral - Minimal inflation impact	2	inflation_sensitivity	2025-11-24 20:42:25.006570
General Merchandisers	0	0	0.0	0.0	Neutral - Minimal inflation impact	3	inflation_sensitivity	2025-11-24 20:42:25.002565
Mining, Crude-Oil Production	0	0	0.0	0.0	Neutral - Minimal inflation impact	1	inflation_sensitivity	2025-11-24 20:42:25.002217
Beverages	0	0	0.0	0.0	Neutral - Minimal inflation impact	1	inflation_sensitivity	2025-11-24 20:42:25.001931
Health Care: Insurance and Managed Care	0	0	0.0	0.0	Neutral - Minimal inflation impact	4	inflation_sensitivity	2025-11-24 20:42:25.001658
Airlines	0	0	0.0	0.0	Neutral - Minimal inflation impact	3	inflation_sensitivity	2025-11-24 20:42:24.995890
Pharmaceuticals	0	0	0.0	0.0	Neutral - Minimal inflation impact	5	inflation_sensitivity	2025-11-24 20:42:24.996266
Food & Drug Stores	0	0	0.0	0.0	Neutral - Minimal inflation impact	2	inflation_sensitivity	2025-11-24 20:42:24.996518
Food Production	0	0	0.0	0.0	Neutral - Minimal inflation impact	2	inflation_sensitivity	2025-11-24 20:42:24.996887
Insurance: Property and Casualty (Mutual)	0	0	0.0	0.0	Neutral - Minimal inflation impact	1	inflation_sensitivity	2025-11-24 20:42:24.997191
Insurance: Property and Casualty (Stock)	0	0	0.0	0.0	Neutral - Minimal inflation impact	4	inflation_sensitivity	2025-11-24 20:42:24.997576
Internet Services and Retailing	0	0	0.0	0.0	Neutral - Minimal inflation impact	3	inflation_sensitivity	2025-11-24 20:42:24.997957
Household and Personal Products	0	0	0.0	0.0	Neutral - Minimal inflation impact	1	inflation_sensitivity	2025-11-24 20:42:25.006814
Computers, Office Equipment	0	0	0.0	0.0	Neutral - Minimal inflation impact	3	inflation_sensitivity	2025-11-24 20:42:24.998352
Semiconductors and Other Electronic Components	0	0	0.0	0.0	Neutral - Minimal inflation impact	3	inflation_sensitivity	2025-11-24 20:42:24.999054
Diversified Financials	0	0	0.0	0.0	Neutral - Minimal inflation impact	4	inflation_sensitivity	2025-11-24 20:42:24.999406
Aerospace & Defense	0	0	0.0	0.0	Neutral - Minimal inflation impact	4	inflation_sensitivity	2025-11-24 20:42:24.999756
Commercial Banks	0	0	0.0	0.0	Neutral - Minimal inflation impact	6	inflation_sensitivity	2025-11-24 20:42:25.000190
Wholesalers: Health Care	0	0	0.0	0.0	Neutral - Minimal inflation impact	3	inflation_sensitivity	2025-11-24 20:42:25.000758
Construction and Farm Machinery	0	0	0.0	0.0	Neutral - Minimal inflation impact	2	inflation_sensitivity	2025-11-24 20:42:25.001035
Health Care: Pharmacy and Other Services	0	0	0.0	0.0	Neutral - Minimal inflation impact	2	inflation_sensitivity	2025-11-24 20:42:25.001287
Telecommunications	0	0	0.0	0.0	Neutral - Minimal inflation impact	4	inflation_sensitivity	2025-11-24 20:42:24.998706
Specialty Retailers: Apparel	0	0	0.0	0.0	Neutral - Minimal inflation impact	1	inflation_sensitivity	2025-11-24 20:42:25.007058
