ticker	company	date	open	high	low	close	volume	daily_return	volatility_30d	moving_avg_30d	moving_avg_90d	trading_volume_avg	price_range	year	month	quarter
601336.SS	New York Life Insurance	2025-11-24	65.65	66.04	64.37	64.4	9490853	0.0	0.0	64.4	64.4	9490853.0	1.6700000000000017	2025	11	4
AAL	American Airlines	2025-11-21	12.34	13.06	12.32	12.87	64943900	0.0	0.0	12.87	12.87	64943900.0	0.7400000000000002	2025	11	4
ABBV	AbbVie	2025-11-21	230.55	238.01	230.14	236.28	7985400	0.0	0.0	236.28	236.28	7985400.0	7.8700000000000045	2025	11	4
ACI	Albertsons	2025-11-21	17.62	17.9	17.53	17.61	7936500	0.0	0.0	17.61	17.61	7936500.0	0.36999999999999744	2025	11	4
ADM	Archer Daniels Midland	2025-11-21	57.97	59.29	57.74	58.63	3103700	0.0	0.0	58.63	58.63	3103700.0	1.5499999999999972	2025	11	4
ALL	Allstate	2025-11-21	213.34	215.89	212.01	214.32	1633400	0.0	0.0	214.32	214.32	1633400.0	3.8799999999999955	2025	11	4
AMZN	Amazon	2025-11-21	216.35	222.21	215.18	220.69	68435400	0.0	0.0	220.69	220.69	68435400.0	7.030000000000001	2025	11	4
APLE	Apple	2025-11-21	11.41	11.82	11.38	11.75	2436200	0.0	0.0	11.75	11.75	2436200.0	0.4399999999999995	2025	11	4
ATT.L	AT&T	2025-11-21	498.5	500.0	484.48	492.5	1991160	0.0	0.0	492.5	492.5	1991160.0	15.519999999999982	2025	11	4
AVGO	Broadcom	2025-11-21	345.16	348.6	331.8	340.2	30238000	0.0	0.0	340.2	340.2	30238000.0	16.80000000000001	2025	11	4
AXP	American Express	2025-11-21	345.6	356.31	344.3	352.89	3044100	0.0	0.0	352.89	352.89	3044100.0	12.009999999999991	2025	11	4
BA	Boeing	2025-11-21	180.56	181.43	176.77	179.7	10124600	0.0	0.0	179.7	179.7	10124600.0	4.659999999999997	2025	11	4
BAC	Bank of America	2025-11-21	51.29	51.78	50.7	51.56	43663000	0.0	0.0	51.56	51.56	43663000.0	1.0799999999999983	2025	11	4
CAH	Cardinal Health	2025-11-21	208.02	210.33	207.4	209.48	3095000	0.0	0.0	209.48	209.48	3095000.0	2.930000000000007	2025	11	4
CAT	Caterpillar	2025-11-21	545.82	554.99	537.08	550.43	2921600	0.0	0.0	550.43	550.43	2921600.0	17.909999999999968	2025	11	4
CHTR	Charter Communications	2025-11-21	195.01	203.25	194.11	203.0	2239700	0.0	0.0	203.0	203.0	2239700.0	9.139999999999986	2025	11	4
CI	Cigna	2025-11-21	271.61	280.09	270.22	278.09	1902200	0.0	0.0	278.09	278.09	1902200.0	9.869999999999948	2025	11	4
CITI.NE	Citi	2025-11-21	40.69	41.25	39.9	41.07	10000	0.0	0.0	41.07	41.07	10000.0	1.3500000000000014	2025	11	4
CMCSA	Comcast	2025-11-21	26.59	27.42	26.59	27.35	31571900	0.0	0.0	27.35	27.35	31571900.0	0.8300000000000018	2025	11	4
CNC	Centene	2025-11-21	35.25	36.71	35.0	36.5	7914600	0.0	0.0	36.5	36.5	7914600.0	1.7100000000000009	2025	11	4
COLA.WA	Coca-Cola	2025-11-21	263.0	263.0	262.7	262.7	54	0.0	0.0	262.7	262.7	54.0	0.30000000000001137	2025	11	4
COP	ConocoPhillips	2025-11-21	87.4	88.49	86.54	87.37	7045800	0.0	0.0	87.37	87.37	7045800.0	1.9499999999999886	2025	11	4
COR	Cencora	2025-11-21	362.2	369.38	361.01	365.68	1521200	0.0	0.0	365.68	365.68	1521200.0	8.370000000000005	2025	11	4
COST	Costco	2025-11-21	894.52	905.32	892.13	899.01	2869100	0.0	0.0	899.01	899.01	2869100.0	13.190000000000055	2025	11	4
CSCO	Cisco Systems	2025-11-21	75.64	76.94	75.47	76.1	24410600	0.0	0.0	76.1	76.1	24410600.0	1.4699999999999989	2025	11	4
