ticker	company	sector_name	sector_code	year	quarter	avg_return	total_volatility	correlation_gdp	correlation_inflation	currency_impact	sector_rank	sector_avg_return	outperforming_sector	recession_resilience_score
601336.SS	New York Life Insurance	Insurance	INSU	2024	4	0.0	0.0	0	0	0	1.0	0.0	0	0.0
AAL	American Airlines Group	Metals & Mining	META	2024	4	0.0	0.0	0	0	0	1.0	0.0	0	0.0
AAPL	Apple	Computers, Office Equipment	COMP	2024	4	0.0	0.0	0	0	0	1.0	0.0	0	0.0
ABBV	Abbvie	Pharmaceutical	PHAR	2024	4	0.0	0.0	0	0	0	1.0	0.0	0	0.0
ACI	Albertsons	Food & Drug Stores	FOOD	2024	4	0.0	0.0	0	0	0	1.0	0.0	0	0.0
ADM	Archer Daniels Midland	Food Production	FOOD	2024	4	0.0	0.0	0	0	0	1.0	0.0	0	0.0
AIG	Aig	Insurance	INSU	2024	4	0.0	0.0	0	0	0	1.0	0.0	0	0.0
ALL	Allstate	Insurance	INSU	2024	4	0.0	0.0	0	0	0	1.0	0.0	0	0.0
AMZN	Amazon	Financial Services	FINA	2024	4	0.0	0.0	0	0	0	1.0	0.0	0	0.0
ATT.L	At&T	Telecommunications	TELE	2024	4	0.0	0.0	0	0	0	1.0	0.0	0	0.0
AXP	American Express	Diversified Financials	DIVE	2024	4	0.0	0.0	0	0	0	1.0	0.0	0	0.0
BA	Boeing	Aerospace, Defense	AERO	2024	4	0.0	0.0	0	0	0	1.0	0.0	0	0.0
BAC	Bank Of America	Commercial Banks	COMM	2024	4	0.0	0.0	0	0	0	1.0	0.0	0	0.0
BBY	Best Buy	Specialty Retailers	SPEC	2024	4	0.0	0.0	0	0	0	1.0	0.0	0	0.0
C	Citigroup	Commercial Banks	COMM	2024	4	0.0	0.0	0	0	0	1.0	0.0	0	0.0
CAH	Cardinal Health	Wholesalers	WHOL	2024	4	0.0	0.0	0	0	0	1.0	0.0	0	0.0
CAT	Caterpillar	Construction And Farm Machinery	CONS	2024	4	0.0	0.0	0	0	0	1.0	0.0	0	0.0
CHS.V	Chs	Food Production	FOOD	2024	4	0.0	0.0	0	0	0	1.0	0.0	0	0.0
CHTR	Charter Communications	Telecommunications	TELE	2024	4	0.0	0.0	0	0	0	1.0	0.0	0	0.0
CI	Cigna	Health Care	HEAL	2024	4	0.0	0.0	0	0	0	1.0	0.0	0	0.0
CMCSA	Comcast	Telecommunications	TELE	2024	4	0.0	0.0	0	0	0	1.0	0.0	0	0.0
CNC	Centene	Health Care	HEAL	2024	4	0.0	0.0	0	0	0	1.0	0.0	0	0.0
COF	Capital One Financial	Commercial Banks	COMM	2024	4	0.0	0.0	0	0	0	1.0	0.0	0	0.0
COLA.WA	Coca-Cola	Beverage	BEVE	2024	4	0.0	0.0	0	0	0	1.0	0.0	0	0.0
COP	Conocophillips	Mining, Crude-Oil Production	MINI	2024	4	0.0	0.0	0	0	0	1.0	0.0	0	0.0
COR	Cencora	Wholesalers	WHOL	2024	4	0.0	0.0	0	0	0	1.0	0.0	0	0.0
COST	Costco	General Merchandisers	GENE	2024	4	0.0	0.0	0	0	0	1.0	0.0	0	0.0
CSCO	Cisco Systems	Network And Other Communications Equipment	NETW	2024	4	0.0	0.0	0	0	0	1.0	0.0	0	0.0
CVS	Cvs	Health Care	HEAL	2024	4	0.0	0.0	0	0	0	1.0	0.0	0	0.0
CVX	Chevron	Petroleum Refining	PETR	2024	4	0.0	0.0	0	0	0	1.0	0.0	0	0.0
DAL	Delta Air Lines	Airlines	AIRL	2024	4	0.0	0.0	0	0	0	1.0	0.0	0	0.0
DE	Deere	Construction And Farm Machinery	CONS	2024	4	0.0	0.0	0	0	0	1.0	0.0	0	0.0
DELL	Dell Technologies	Computers, Office Equipment	COMP	2024	4	0.0	0.0	0	0	0	1.0	0.0	0	0.0
DIS	Walt Disney	Entertainment	ENTE	2024	4	0.0	0.0	0	0	0	1.0	0.0	0	0.0
DOW	Dow	Chemicals	CHEM	2024	4	0.0	0.0	0	0	0	1.0	0.0	0	0.0
