ticker	company	date	open	high	low	close	volume	daily_return	volatility_30d	moving_avg_30d	moving_avg_90d	trading_volume_avg	price_range	year	month	quarter
601336.SS	New York Life Insurance	2024-12-30	48.9	50.44	48.84	50.43	26253357	0.0	0.0	50.43	50.43	26253357.0	1.5999999999999943	2024	12	4
AAL	American Airlines Group	2024-12-30	17.27	17.73	17.15	17.62	20436400	0.0	0.0	17.62	17.62	20436400.0	0.5800000000000018	2024	12	4
AAPL	Apple	2024-12-30	251.09	252.36	249.62	251.06	35557500	0.0	0.0	251.06	251.06	35557500.0	2.740000000000009	2024	12	4
ABBV	Abbvie	2024-12-30	171.04	171.35	169.58	170.25	3405700	0.0	0.0	170.25	170.25	3405700.0	1.7699999999999818	2024	12	4
ACI	Albertsons	2024-12-30	19.27	19.37	18.86	19.05	5292800	0.0	0.0	19.05	19.05	5292800.0	0.5100000000000016	2024	12	4
ADM	Archer Daniels Midland	2024-12-30	48.46	48.59	47.72	48.19	2676700	0.0	0.0	48.19	48.19	2676700.0	0.8700000000000045	2024	12	4
AIG	Aig	2024-12-30	70.87	71.85	70.83	71.4	3059500	0.0	0.0	71.4	71.4	3059500.0	1.019999999999996	2024	12	4
ALL	Allstate	2024-12-30	190.03	190.31	186.98	189.73	1041700	0.0	0.0	189.73	189.73	1041700.0	3.3300000000000125	2024	12	4
AMZN	Amazon	2024-12-30	220.06	223.0	218.43	221.3	28321200	0.0	0.0	221.3	221.3	28321200.0	4.569999999999993	2024	12	4
ATT.L	At&T	2024-12-30	420.0	420.5	412.0	416.5	388215	0.0	0.0	416.5	416.5	388215.0	8.5	2024	12	4
AXP	American Express	2024-12-30	294.18	296.51	291.0	294.16	2392800	0.0	0.0	294.16	294.16	2392800.0	5.509999999999991	2024	12	4
BA	Boeing	2024-12-30	173.72	178.17	170.15	176.55	18082300	0.0	0.0	176.55	176.55	18082300.0	8.019999999999982	2024	12	4
BAC	Bank Of America	2024-12-30	43.12	43.37	42.79	43.14	16109800	0.0	0.0	43.14	43.14	16109800.0	0.5799999999999983	2024	12	4
BBY	Best Buy	2024-12-30	83.96	84.04	82.36	82.55	2045300	0.0	0.0	82.55	82.55	2045300.0	1.6800000000000068	2024	12	4
C	Citigroup	2024-12-30	68.29	68.92	67.91	68.49	6664400	0.0	0.0	68.49	68.49	6664400.0	1.0100000000000051	2024	12	4
CAH	Cardinal Health	2024-12-30	116.62	116.96	115.86	116.25	1121800	0.0	0.0	116.25	116.25	1121800.0	1.0999999999999943	2024	12	4
CAT	Caterpillar	2024-12-30	355.07	359.39	353.4	357.61	1422200	0.0	0.0	357.61	357.61	1422200.0	5.990000000000009	2024	12	4
CHS.V	Chs	2024-12-30	0.01	0.01	0.01	0.01	9000	0.0	0.0	0.01	0.01	9000.0	0.0	2024	12	4
CHTR	Charter Communications	2024-12-30	347.23	347.23	340.98	343.18	581200	0.0	0.0	343.18	343.18	581200.0	6.25	2024	12	4
CI	Cigna	2024-12-30	273.65	273.65	269.58	271.11	1271100	0.0	0.0	271.11	271.11	1271100.0	4.069999999999993	2024	12	4
CMCSA	Comcast	2024-12-30	36.4	36.5	35.76	36.03	23728300	0.0	0.0	36.03	36.03	23728300.0	0.740000000000002	2024	12	4
CNC	Centene	2024-12-30	60.35	60.66	59.75	60.36	2589900	0.0	0.0	60.36	60.36	2589900.0	0.9099999999999966	2024	12	4
COF	Capital One Financial	2024-12-30	175.91	177.04	173.62	175.69	1726500	0.0	0.0	175.69	175.69	1726500.0	3.4199999999999875	2024	12	4
COLA.WA	Coca-Cola	2024-12-30	253.15	253.15	253.15	253.15	2	0.0	0.0	253.15	253.15	2.0	0.0	2024	12	4
COP	Conocophillips	2024-12-30	94.0	94.34	92.93	93.84	5238800	0.0	0.0	93.84	93.84	5238800.0	1.4099999999999966	2024	12	4
COR	Cencora	2024-12-30	223.48	224.3	222.4	222.99	880500	0.0	0.0	222.99	222.99	880500.0	1.9000000000000057	2024	12	4
COST	Costco	2024-12-30	926.17	929.32	910.75	917.42	1881200	0.0	0.0	917.42	917.42	1881200.0	18.57000000000005	2024	12	4
CSCO	Cisco Systems	2024-12-30	57.6	57.9	56.94	57.7	12948100	0.0	0.0	57.7	57.7	12948100.0	0.9600000000000009	2024	12	4
CVS	Cvs	2024-12-30	42.43	42.61	41.86	42.14	12153700	0.0	0.0	42.14	42.14	12153700.0	0.75	2024	12	4
CVX	Chevron	2024-12-30	137.42	137.6	136.04	136.73	6194800	0.0	0.0	136.73	136.73	6194800.0	1.5600000000000023	2024	12	4
DAL	Delta Air Lines	2024-12-30	59.46	60.45	58.66	60.0	5153300	0.0	0.0	60.0	60.0	5153300.0	1.7900000000000063	2024	12	4
DE	Deere	2024-12-30	421.32	421.97	415.88	418.75	792500	0.0	0.0	418.75	418.75	792500.0	6.090000000000032	2024	12	4
DELL	Dell Technologies	2024-12-30	113.25	113.85	110.61	112.77	5517900	0.0	0.0	112.77	112.77	5517900.0	3.239999999999995	2024	12	4
DIS	Walt Disney	2024-12-30	109.96	111.07	109.36	110.33	5716300	0.0	0.0	110.33	110.33	5716300.0	1.7099999999999937	2024	12	4
DOW	Dow	2024-12-30	37.68	37.7	37.04	37.24	7954900	0.0	0.0	37.24	37.24	7954900.0	0.6600000000000037	2024	12	4
ELV	Elevance Health	2024-12-30	364.36	364.47	359.96	363.66	1303800	0.0	0.0	363.66	363.66	1303800.0	4.510000000000048	2024	12	4
EPD	Enterprise Products Partners	2024-12-30	28.88	29.2	28.76	29.14	3273700	0.0	0.0	29.14	29.14	3273700.0	0.4399999999999977	2024	12	4
ET	Energy Transfer	2024-12-30	17.86	18.23	17.83	18.17	10722300	0.0	0.0	18.17	18.17	10722300.0	0.40000000000000213	2024	12	4
F	Ford Motor	2024-12-30	9.26	9.29	9.14	9.2	47116700	0.0	0.0	9.2	9.2	47116700.0	0.14999999999999858	2024	12	4
FDX	Fedex	2024-12-30	271.8	277.3	270.51	275.47	1587400	0.0	0.0	275.47	275.47	1587400.0	6.7900000000000205	2024	12	4
FMCC	Freddie Mac	2024-12-30	2.48	3.5	2.23	3.32	9554200	0.0	0.0	3.32	3.32	9554200.0	1.27	2024	12	4
FNMA	Fannie Mae	2024-12-30	2.49	3.48	2.24	3.39	29404600	0.0	0.0	3.39	3.39	29404600.0	1.2399999999999998	2024	12	4
GE	General Electric	2024-12-30	166.44	168.46	165.26	167.34	4117500	0.0	0.0	167.34	167.34	4117500.0	3.200000000000017	2024	12	4
GM	General Motors	2024-12-30	53.3	53.65	52.49	53.22	7246800	0.0	0.0	53.22	53.22	7246800.0	1.1599999999999966	2024	12	4
GOOGL	Alphabet	2024-12-30	189.18	191.92	188.51	190.62	14264700	0.0	0.0	190.62	190.62	14264700.0	3.4099999999999966	2024	12	4
GS	Goldman Sachs Group	2024-12-30	558.68	567.3	556.54	564.87	1265900	0.0	0.0	564.87	564.87	1265900.0	10.759999999999991	2024	12	4
HCA	Hca Healthcare	2024-12-30	298.6	301.19	294.97	296.64	903100	0.0	0.0	296.64	296.64	903100.0	6.21999999999997	2024	12	4
HD	Home Depot	2024-12-30	383.49	384.16	378.73	382.41	2444700	0.0	0.0	382.41	382.41	2444700.0	5.430000000000007	2024	12	4
HUM.ST	Humana	2024-12-30	34.63	34.73	34.48	34.73	94747	0.0	0.0	34.73	34.73	94747.0	0.25	2024	12	4
IBM	Ibm	2024-12-30	214.99	216.01	212.17	214.7	2095600	0.0	0.0	214.7	214.7	2095600.0	3.8400000000000034	2024	12	4
INTC	Intel	2024-12-30	20.01	20.11	19.73	19.82	59608100	0.0	0.0	19.82	19.82	59608100.0	0.379999999999999	2024	12	4
JNJ	Johnson & Johnson	2024-12-30	141.43	141.47	139.58	139.97	6268700	0.0	0.0	139.97	139.97	6268700.0	1.8899999999999864	2024	12	4
JPM	Jp Morgan Chase	2024-12-30	233.82	235.85	232.19	234.36	5723800	0.0	0.0	234.36	234.36	5723800.0	3.6599999999999966	2024	12	4
KR	Kroger	2024-12-30	60.76	60.9	59.92	60.01	10799900	0.0	0.0	60.01	60.01	10799900.0	0.9799999999999969	2024	12	4
LFG.AX	Liberty Mutual Insurance Group	2024-12-30	2.94	2.98	2.89	2.98	870	0.0	0.0	2.98	2.98	870.0	0.08999999999999986	2024	12	4
LMT	Lockheed Martin	2024-12-30	475.67	476.21	471.61	473.09	887600	0.0	0.0	473.09	473.09	887600.0	4.599999999999966	2024	12	4
MCK	Mckesson	2024-12-30	571.15	574.13	567.22	568.87	416700	0.0	0.0	568.87	568.87	416700.0	6.909999999999968	2024	12	4
MET	Metlife	2024-12-30	78.98	79.79	78.58	79.21	1884300	0.0	0.0	79.21	79.21	1884300.0	1.210000000000008	2024	12	4
META	Meta Platforms	2024-12-30	587.38	595.55	584.22	589.86	7025900	0.0	0.0	589.86	589.86	7025900.0	11.329999999999927	2024	12	4
MPC	Marathon Petroleum	2024-12-30	132.63	134.18	131.6	132.65	2010900	0.0	0.0	132.65	132.65	2010900.0	2.5800000000000125	2024	12	4
MRK	Merck	2024-12-30	96.78	96.78	95.52	95.62	6848700	0.0	0.0	95.62	95.62	6848700.0	1.2600000000000051	2024	12	4
MS	Morgan Stanley	2024-12-30	121.16	122.72	120.64	122.32	2637900	0.0	0.0	122.32	122.32	2637900.0	2.0799999999999983	2024	12	4
MSFT	Microsoft	2024-12-30	422.94	424.42	418.81	421.72	13158700	0.0	0.0	421.72	421.72	13158700.0	5.610000000000014	2024	12	4
NKE	Nike	2024-12-30	74.34	74.5	73.3	73.4	9042900	0.0	0.0	73.4	73.4	9042900.0	1.2000000000000028	2024	12	4
NVDA	Nvidia	2024-12-30	134.8	140.24	133.99	137.46	167734700	0.0	0.0	137.46	137.46	167734700.0	6.25	2024	12	4
ORCL	Oracle	2024-12-30	164.87	166.26	162.93	165.27	5254800	0.0	0.0	165.27	165.27	5254800.0	3.329999999999984	2024	12	4
PAGP	Plains Gp Holdings	2024-12-30	16.84	16.85	16.52	16.77	1055100	0.0	0.0	16.77	16.77	1055100.0	0.33000000000000185	2024	12	4
PEP	Pepsico	2024-12-30	148.23	148.65	146.71	147.32	5397000	0.0	0.0	147.32	147.32	5397000.0	1.9399999999999977	2024	12	4
PFGC	Performance Food Group	2024-12-30	84.45	84.8	83.49	84.19	987500	0.0	0.0	84.19	84.19	987500.0	1.3100000000000023	2024	12	4
PFIZER.NS	Pfizer	2024-12-30	4693.79	5314.77	4645.2	5214.43	307747	0.0	0.0	5214.43	5214.43	307747.0	669.5700000000006	2024	12	4
PG	Procter & Gamble	2024-12-30	164.33	164.63	162.42	162.79	4354500	0.0	0.0	162.79	162.79	4354500.0	2.210000000000008	2024	12	4
PGR	Progressive	2024-12-30	233.88	236.72	232.45	234.81	2257400	0.0	0.0	234.81	234.81	2257400.0	4.27000000000001	2024	12	4
PRU	Prudential Financial	2024-12-30	111.94	112.75	110.87	112.32	768300	0.0	0.0	112.32	112.32	768300.0	1.8799999999999955	2024	12	4
PSX	Phillips 66	2024-12-30	108.53	109.03	107.4	107.94	2567500	0.0	0.0	107.94	107.94	2567500.0	1.6299999999999955	2024	12	4
RTX	Rtx	2024-12-30	113.33	113.8	112.43	113.11	2822000	0.0	0.0	113.11	113.11	2822000.0	1.3699999999999903	2024	12	4
SNEX	Stonex Group	2024-12-30	65.57	66.01	64.91	65.44	142500	0.0	0.0	65.44	65.44	142500.0	1.1000000000000085	2024	12	4
SNX	Td Synnex	2024-12-30	116.06	116.06	113.84	114.89	319300	0.0	0.0	114.89	114.89	319300.0	2.219999999999999	2024	12	4
SYY	Sysco	2024-12-30	74.65	74.65	73.66	74.32	1604600	0.0	0.0	74.32	74.32	1604600.0	0.9900000000000091	2024	12	4
TGT	Target	2024-12-30	128.72	130.67	128.18	129.34	3945600	0.0	0.0	129.34	129.34	3945600.0	2.4899999999999807	2024	12	4
TILIX	Tiaa	2024-12-30	67.59	67.59	67.59	67.59	0	0.0	0.0	67.59	67.59	0.0	0.0	2024	12	4
TJX	Tjx	2024-12-30	120.71	121.14	119.13	119.61	3976600	0.0	0.0	119.61	119.61	3976600.0	2.010000000000005	2024	12	4
