ticker,company,sector_name,sector_code,year,quarter,avg_return,total_volatility,correlation_gdp,correlation_inflation,currency_impact,sector_rank,sector_avg_return,outperforming_sector,recession_resilience_score
601336.SS,New York Life Insurance,"Insurance: Life, Health (Mutual)",INSU,2025,4,-0.34797047254199553,37.78133528486091,0,0,0,2.0,-0.3179869496267213,0,0.0
AAL,American Airlines,Airlines,AIRL,2025,4,-0.06240336223151984,68.40817684825966,0,0,0,2.0,-0.06262967414642757,1,0.0
ABBV,AbbVie,Pharmaceuticals,PHAR,2025,4,0.07539643670879245,35.759560121561655,0,0,0,4.0,0.4087857460905567,0,0.0
ACI,Albertsons,Food & Drug Stores,FOOD,2025,4,-0.3211183741724893,21.50088417863083,0,0,0,2.0,-0.26831662390936517,0,0.0
ADM,Archer Daniels Midland,Food Production,FOOD,2025,4,-0.2178423874946359,33.79032825012142,0,0,0,2.0,0.1296967270865888,0,0.0
ALL,Allstate,Insurance: Property and Casualty (Stock),INSU,2025,4,0.5106942287199688,20.686778988865274,0,0,0,1.0,0.34819480274434933,1,0.0
AMZN,Amazon,Internet Services and Retailing,INTE,2025,4,0.01770367673471499,63.65033736901155,0,0,0,2.0,-0.026982366067501633,1,0.0
APLE,Apple,"Computers, Office Equipment",COMP,2025,4,0.12218190132462,28.00105419364522,0,0,0,2.0,-0.2052948314685019,1,0.0
ATT.L,AT&T,Telecommunications,TELE,2025,4,-0.12327173323748368,33.114662169918375,0,0,0,2.0,-0.32522520368123975,1,0.0
AVGO,Broadcom,Semiconductors and Other Electronic Components,SEMI,2025,4,0.2238405312249387,48.83908979891523,0,0,0,1.0,-0.16692589083254816,1,0.0
AXP,American Express,Diversified Financials,DIVE,2025,4,-0.07732689536322107,16.397228074139214,0,0,0,1.0,-0.44313815639592113,1,0.0
BA,Boeing,Aerospace & Defense,AERO,2025,4,-1.0448916970953726,46.17162719874345,0,0,0,4.0,-0.44481072687092327,0,0.0
BAC,Bank of America,Commercial Banks,COMM,2025,4,-0.07883383498613036,17.29470900621018,0,0,0,4.0,-0.08816372482780621,1,0.0
CAH,Cardinal Health,Wholesalers: Health Care,WHOL,2025,4,1.2942747006780535,85.63804436780288,0,0,0,1.0,0.6993527237206488,1,0.0
CAT,Caterpillar,Construction and Farm Machinery,CONS,2025,4,0.359470926052767,81.04570904283068,0,0,0,1.0,0.24852264191096876,1,0.0
CHTR,Charter Communications,Telecommunications,TELE,2025,4,-0.8964404590766515,49.12227909113636,0,0,0,4.0,-0.32522520368123975,0,0.0
CI,Cigna,Health Care: Pharmacy and Other Services,HEAL,2025,4,-0.5122954547496997,108.45017850851885,0,0,0,2.0,-0.38428388673835007,0,0.0
CITI.NE,Citi,Commercial Banks,COMM,2025,4,-0.02213802606874341,24.193165187301904,0,0,0,2.0,-0.08816372482780621,1,0.0
CMCSA,Comcast,Telecommunications,TELE,2025,4,-0.42471875885283794,39.05726351825267,0,0,0,3.0,-0.32522520368123975,0,0.0
CNC,Centene,Health Care: Insurance and Managed Care,HEAL,2025,4,0.8066905703659993,101.87416456555202,0,0,0,1.0,-5.987072194871268e-05,1,0.0
COLA.WA,Coca-Cola,Beverages,BEVE,2025,4,0.20522287189481422,18.23185683307635,0,0,0,1.0,0.20522287189481422,0,0.0
COP,ConocoPhillips,"Mining, Crude-Oil Production",MINI,2025,4,-0.01582474934324759,28.89875870737884,0,0,0,1.0,-0.01582474934324759,0,0.0
COR,Cencora,Wholesalers: Health Care,WHOL,2025,4,0.45906975898392377,22.071908228413744,0,0,0,2.0,0.6993527237206488,0,0.0
COST,Costco,General Merchandisers,GENE,2025,4,-0.22814707338073065,19.296298861138283,0,0,0,2.0,-0.2517177495218989,1,0.0
CSCO,Cisco Systems,Network and Other Communications Equipment,NETW,2025,4,0.3316493273416989,35.44297506321782,0,0,0,1.0,0.3316493273416989,0,0.0
CVS,CVS Health,Health Care: Pharmacy and Other Services,HEAL,2025,4,-0.2562723187270004,36.1299897507228,0,0,0,1.0,-0.38428388673835007,1,0.0
CVX,Chevron,Petroleum Refining,PETR,2025,4,-0.12885043914413746,25.35176682525298,0,0,0,5.0,-0.0542881075045862,0,0.0
DAL,Delta Airlines,Airlines,AIRL,2025,4,0.0032710828287374908,58.75363825166576,0,0,0,1.0,-0.06262967414642757,1,0.0
DE,Deere,Construction and Farm Machinery,CONS,2025,4,0.13757435776917054,25.341202221466645,0,0,0,2.0,0.24852264191096876,0,0.0
DELL,Dell Technologies,"Computers, Office Equipment",COMP,2025,4,-1.0982893694174847,35.720681847643256,0,0,0,3.0,-0.2052948314685019,0,0.0
DIS,Walt Disney,Entertainment,ENTE,2025,4,-0.4212000089207428,28.306153732452096,0,0,0,1.0,-0.4212000089207428,0,0.0
ELV,Elevance Health,Health Care: Insurance and Managed Care,HEAL,2025,4,-0.1691688623567375,37.37937289466587,0,0,0,3.0,-5.987072194871268e-05,0,0.0
EPD,Enterprise Products Partners,Pipelines,PIPE,2025,4,0.31431720860892626,16.416882320278017,0,0,0,1.0,0.17277078301769275,1,0.0
ET,Energy Transfer,Pipelines,PIPE,2025,4,-0.029569857224754265,17.780902864313237,0,0,0,3.0,0.17277078301769275,0,0.0
F,Ford Motor,Motor Vehicles & Parts,MOTO,2025,4,-0.05243628412292946,24.981633625814826,0,0,0,2.0,-0.20257727580006346,1,0.0
FDX,FedEx,"Mail, Package and Freight Delivery",MAIL,2025,4,0.40602486991533693,26.37475034694879,0,0,0,1.0,0.38209850064654866,1,0.0
FMCC,Freddie Mac,Diversified Financials,DIVE,2025,4,-0.4730644295949389,91.5499476775196,0,0,0,3.0,-0.44313815639592113,0,0.0
FNMA,Fannie Mae,Diversified Financials,DIVE,2025,4,-0.47179241876754724,98.16809627542192,0,0,0,2.0,-0.44313815639592113,0,0.0
GD,General Dynamics,Aerospace & Defense,AERO,2025,4,-0.212428795894054,19.45768351279925,0,0,0,2.0,-0.44481072687092327,1,0.0
GM,General Motors,Motor Vehicles & Parts,MOTO,2025,4,0.1251223469333299,26.246744799468704,0,0,0,1.0,-0.20257727580006346,1,0.0
GOOGL,Alphabet,Internet Services and Retailing,INTE,2025,4,0.8122595010923583,36.44990844850787,0,0,0,1.0,-0.026982366067501633,1,0.0
GSBD,Goldman Sachs,Commercial Banks,COMM,2025,4,-0.18293728757953906,17.35571751180147,0,0,0,6.0,-0.08816372482780621,0,0.0
HCA,HCA Healthcare,Health Care: Medical Facilities,HEAL,2025,4,0.3907508216999531,22.259552555956063,0,0,0,1.0,0.3907508216999531,0,0.0
HD,Home Depot,Specialty Retailers: Other,SPEC,2025,4,-0.6051679647284891,23.783223007280583,0,0,0,2.0,-0.30773416885234833,0,0.0
HP,HP,"Computers, Office Equipment",COMP,2025,4,0.360222973687359,47.27586343763178,0,0,0,1.0,-0.2052948314685019,1,0.0
HUM.ST,Humana,Health Care: Insurance and Managed Care,HEAL,2025,4,-0.024134192726357633,22.7732009447604,0,0,0,2.0,-5.987072194871268e-05,0,0.0
IBM,IBM,Information Technology Services,INFO,2025,4,-0.07319864577471602,24.444312431533916,0,0,0,1.0,-0.07319864577471602,0,0.0
INGM,Ingram Micro,Wholesalers: Electronics and Office Equipment,WHOL,2025,4,-0.2343578386574468,31.77900725044146,0,0,0,2.0,-0.19299533306666883,0,0.0
INTC,Intel,Semiconductors and Other Electronic Components,SEMI,2025,4,-0.42468386649739476,61.97389327719716,0,0,0,3.0,-0.16692589083254816,0,0.0
JNJ,Johnson & Johnson,Pharmaceuticals,PHAR,2025,4,0.3522171770022756,21.408026622302497,0,0,0,3.0,0.4087857460905567,0,0.0
JPM,JPMorgan Chase,Commercial Banks,COMM,2025,4,-0.07167248050481201,15.768114774917198,0,0,0,3.0,-0.08816372482780621,1,0.0
KR,Kroger,Food & Drug Stores,FOOD,2025,4,-0.21551487364624108,25.266114627239787,0,0,0,1.0,-0.26831662390936517,1,0.0
LLY,Eli Lilly,Pharmaceuticals,PHAR,2025,4,1.2357376969863902,35.11752254243648,0,0,0,1.0,0.4087857460905567,1,0.0
LMT,Lockheed Martin,Aerospace & Defense,AERO,2025,4,-0.3530502185177596,18.09854896463512,0,0,0,3.0,-0.44481072687092327,1,0.0
MCK,McKesson,Wholesalers: Health Care,WHOL,2025,4,0.34471371149996893,25.547151127005424,0,0,0,3.0,0.6993527237206488,0,0.0
MET,MetLife,"Insurance: Life, Health (Stock)",INSU,2025,4,-0.21566288927023727,23.930387392052392,0,0,0,2.0,0.040054143708322595,0,0.0
META,Meta,Internet Services and Retailing,INTE,2025,4,-0.9109102760295782,64.23960753973448,0,0,0,3.0,-0.026982366067501633,0,0.0
MPC,Marathon Petroleum,Petroleum Refining,PETR,2025,4,-0.12251997529747696,43.840134893363576,0,0,0,4.0,-0.0542881075045862,0,0.0
MRK,Merck,Pharmaceuticals,PHAR,2025,4,0.6913019284051992,31.37550986370096,0,0,0,2.0,0.4087857460905567,1,0.0
MS,Morgan Stanley,Commercial Banks,COMM,2025,4,-0.018651948005391293,17.522336707017594,0,0,0,1.0,-0.08816372482780621,1,0.0
MSFT,Microsoft,Computer Software,COMP,2025,4,-0.5257064402876369,29.324335719176744,0,0,0,1.0,-1.0519508715221106,1,0.0
NKE,Nike,Apparel,APPA,2025,4,-0.4263367758208937,33.693862208600656,0,0,0,1.0,-0.4263367758208937,0,0.0
NVDA,Nvidia,Semiconductors and Other Electronic Components,SEMI,2025,4,-0.2999343372251885,57.15865703283877,0,0,0,2.0,-0.16692589083254816,0,0.0
ORCL,Oracle,Computer Software,COMP,2025,4,-1.5781953027565845,49.36624249060719,0,0,0,2.0,-1.0519508715221106,0,0.0
PAGP,Plains GP,Pipelines,PIPE,2025,4,0.23356499766890626,12.314005470194797,0,0,0,2.0,0.17277078301769275,1,0.0
PEP,PepsiCo,Food Consumer Products,FOOD,2025,4,-0.2095748779557392,24.17725946368795,0,0,0,1.0,-0.2095748779557392,0,0.0
PFGC,Performance Food,Wholesalers: Food and Grocery,WHOL,2025,4,-0.20866413217037905,24.83082796495357,0,0,0,2.0,-0.18090845757867083,0,0.0
PFIZER.NS,Pfizer,Pharmaceuticals,PHAR,2025,4,-0.3107245086498743,18.129431360738884,0,0,0,5.0,0.4087857460905567,0,0.0
PG,Procter & Gamble,Household and Personal Products,HOUS,2025,4,-0.15275201811545464,18.328161803967838,0,0,0,1.0,-0.15275201811545464,0,0.0
PGR,Progressive,Insurance: Property and Casualty (Stock),INSU,2025,4,0.2173324303776549,29.01130394608114,0,0,0,4.0,0.34819480274434933,0,0.0
PRU,Prudential Financial,"Insurance: Life, Health (Stock)",INSU,2025,4,0.29577117668688246,17.989629687560164,0,0,0,1.0,0.040054143708322595,1,0.0
PSX,Phillips 66,Petroleum Refining,PETR,2025,4,-0.04544010053565258,32.616432116828136,0,0,0,3.0,-0.0542881075045862,1,0.0
RTX,RTX,Aerospace & Defense,AERO,2025,4,-0.1688721959765069,16.18125156904758,0,0,0,1.0,-0.44481072687092327,1,0.0
SNEX,StoneX,Diversified Financials,DIVE,2025,4,-0.7503688818579775,42.153830712910015,0,0,0,4.0,-0.44313815639592113,0,0.0
SNX,TD Synnex,Wholesalers: Electronics and Office Equipment,WHOL,2025,4,-0.15163282747589085,25.197255919767642,0,0,0,1.0,-0.19299533306666883,1,0.0
SYY,Sysco,Wholesalers: Food and Grocery,WHOL,2025,4,-0.1531527829869626,28.370058158944946,0,0,0,1.0,-0.18090845757867083,1,0.0
TGT,Target,General Merchandisers,GENE,2025,4,-0.5687093999974538,31.020309592574826,0,0,0,3.0,-0.2517177495218989,0,0.0
TILIX,TIAA,"Insurance: Life, Health (Mutual)",INSU,2025,4,-0.2880034267114471,19.03174177020109,0,0,0,1.0,-0.3179869496267213,1,0.0
TJX,TJX,Specialty Retailers: Apparel,SPEC,2025,4,0.24603635740287044,18.944148415527874,0,0,0,1.0,0.24603635740287044,0,0.0
TRV,Travelers,Insurance: Property and Casualty (Stock),INSU,2025,4,0.352912468536109,21.711109610910718,0,0,0,2.0,0.34819480274434933,1,0.0
TSLA,Tesla,Motor Vehicles & Parts,MOTO,2025,4,-0.6804178902105908,58.655072274844194,0,0,0,3.0,-0.20257727580006346,0,0.0
TSN,Tyson Foods,Food Production,FOOD,2025,4,0.4772358416678135,29.442538166441643,0,0,0,1.0,0.1296967270865888,1,0.0
UAL,United Airlines,Airlines,AIRL,2025,4,-0.12875674303650037,61.806845897409005,0,0,0,3.0,-0.06262967414642757,0,0.0
UIPMX,USAA,Insurance: Property and Casualty (Stock),INSU,2025,4,0.3118400833436645,37.13713984312308,0,0,0,3.0,0.34819480274434933,0,0.0
UNH,UnitedHealth,Health Care: Insurance and Managed Care,HEAL,2025,4,-0.6136269981706991,33.28646344195313,0,0,0,4.0,-5.987072194871268e-05,0,0.0
UPS,UPS,"Mail, Package and Freight Delivery",MAIL,2025,4,0.3581721313777604,64.29007223026666,0,0,0,2.0,0.38209850064654866,0,0.0
VLO,Valero Energy,Petroleum Refining,PETR,2025,4,-0.006886599054902499,35.40365857541673,0,0,0,2.0,-0.0542881075045862,1,0.0
VZ,Verizon,Telecommunications,TELE,2025,4,0.14353013644201396,28.963035382373263,0,0,0,1.0,-0.32522520368123975,1,0.0
WFC,Wells Fargo,Commercial Banks,COMM,2025,4,-0.1547487718222211,13.705534105086807,0,0,0,5.0,-0.08816372482780621,0,0.0
WMT,Walmart,General Merchandisers,GENE,2025,4,0.04170322481248789,16.80958322688603,0,0,0,1.0,-0.2517177495218989,1,0.0
X1G.PA,Lowe's,Specialty Retailers: Other,SPEC,2025,4,-0.010300372976207593,1.897116204125423,0,0,0,1.0,-0.30773416885234833,1,0.0
XOM,Exxon Mobil,Petroleum Refining,PETR,2025,4,0.03225657650923851,20.462725151823054,0,0,0,1.0,-0.0542881075045862,1,0.0
