ticker,company,sector_name,sector_code,year,quarter,avg_return,total_volatility,correlation_gdp,correlation_inflation,currency_impact,sector_rank,sector_avg_return,outperforming_sector,recession_resilience_score
601336.SS,New York Life Insurance,Insurance,INSU,2024,4,0.2731467472916295,145.72161466722912,0,0,0,2.0,0.11774852833609,1,0.0
AAL,American Airlines Group,Metals & Mining,META,2024,4,0.7084213616922128,123.09173989972659,0,0,0,1.0,0.7084213616922128,0,0.0
AAPL,Apple,"Computers, Office Equipment",COMP,2024,4,0.3161808609969876,33.91246003288319,0,0,0,1.0,0.016579753368037353,1,0.0
ABBV,Abbvie,Pharmaceutical,PHAR,2024,4,-0.330922750536997,105.47423782224017,0,0,0,4.0,-0.1294736593815695,0,0.0
ACI,Albertsons,Food & Drug Stores,FOOD,2024,4,0.1364570350374359,51.758309787523274,0,0,0,2.0,0.18058877569242984,0,0.0
ADM,Archer Daniels Midland,Food Production,FOOD,2024,4,-0.1823368634490556,75.87510486880281,0,0,0,2.0,-1.7353720462765017,1,0.0
AIG,Aig,Insurance,INSU,2024,4,-0.08714483389710972,42.94384950559415,0,0,0,8.0,0.11774852833609,0,0.0
ALL,Allstate,Insurance,INSU,2024,4,0.13168548151812753,53.386995627521486,0,0,0,4.0,0.11774852833609,1,0.0
AMZN,Amazon,Financial Services,FINA,2024,4,0.2959876919666792,72.76331699392163,0,0,0,1.0,0.2959876919666792,0,0.0
ATT.L,At&T,Telecommunications,TELE,2024,4,0.3327797002265828,57.118597067293145,0,0,0,1.0,-0.0656234128790886,1,0.0
AXP,American Express,Diversified Financials,DIVE,2024,4,0.23201673423289612,80.84925248016535,0,0,0,3.0,1.6095073509330742,0,0.0
BA,Boeing,"Aerospace, Defense",AERO,2024,4,0.35009216444038127,76.4457306815816,0,0,0,1.0,0.00582458524993078,1,0.0
BAC,Bank Of America,Commercial Banks,COMM,2024,4,0.15364669166519995,82.10972893602646,0,0,0,7.0,0.235234496010318,0,0.0
BBY,Best Buy,Specialty Retailers,SPEC,2024,4,-0.09807254502706413,76.75960191055452,0,0,0,4.0,0.03202006284909637,0,0.0
C,Citigroup,Commercial Banks,COMM,2024,4,0.2861056812042105,84.09919903155541,0,0,0,2.0,0.235234496010318,1,0.0
CAH,Cardinal Health,Wholesalers,WHOL,2024,4,0.04881955211758085,71.05629418376296,0,0,0,4.0,0.06337057562584998,0,0.0
CAT,Caterpillar,Construction And Farm Machinery,CONS,2024,4,-0.09381472017878009,95.29443753329242,0,0,0,2.0,0.03615741636899661,0,0.0
CHS.V,Chs,Food Production,FOOD,2024,4,-5.0,409.53367404517996,0,0,0,3.0,-1.7353720462765017,0,0.0
CHTR,Charter Communications,Telecommunications,TELE,2024,4,-0.13405071259936166,100.44623656467283,0,0,0,3.0,-0.0656234128790886,0,0.0
CI,Cigna,Health Care,HEAL,2024,4,-0.3131239972832309,85.14155906830857,0,0,0,5.0,-0.2679536009151212,0,0.0
CMCSA,Comcast,Telecommunications,TELE,2024,4,-0.35808944984286634,85.22884291501977,0,0,0,4.0,-0.0656234128790886,0,0.0
CNC,Centene,Health Care,HEAL,2024,4,-0.11049853417560654,75.39726567979992,0,0,0,1.0,-0.2679536009151212,1,0.0
COF,Capital One Financial,Commercial Banks,COMM,2024,4,0.25056754481456106,143.2981138802364,0,0,0,4.0,0.235234496010318,1,0.0
COLA.WA,Coca-Cola,Beverage,BEVE,2024,4,-0.09937849686991575,12.632180482116134,0,0,0,1.0,-0.09937849686991575,0,0.0
COP,Conocophillips,"Mining, Crude-Oil Production",MINI,2024,4,-0.2350264081093366,58.37190344100656,0,0,0,1.0,-0.2350264081093366,0,0.0
COR,Cencora,Wholesalers,WHOL,2024,4,-0.09149839465768506,54.03583927337868,0,0,0,6.0,0.06337057562584998,0,0.0
COST,Costco,General Merchandisers,GENE,2024,4,0.1316138918946564,45.54906909519758,0,0,0,2.0,0.06962479983240162,1,0.0
CSCO,Cisco Systems,Network And Other Communications Equipment,NETW,2024,4,0.165599174006355,39.05729919188165,0,0,0,1.0,0.165599174006355,0,0.0
CVS,Cvs,Health Care,HEAL,2024,4,-0.5429246400197505,151.4831076207077,0,0,0,6.0,-0.2679536009151212,0,0.0
CVX,Chevron,Petroleum Refining,PETR,2024,4,-0.13577765092903238,45.43129296576538,0,0,0,2.0,-0.1407879560341013,1,0.0
DAL,Delta Air Lines,Airlines,AIRL,2024,4,0.11907965425387865,96.27830139499127,0,0,0,2.0,0.32558102531208066,0,0.0
DE,Deere,Construction And Farm Machinery,CONS,2024,4,0.1661295529167733,78.53866781722104,0,0,0,1.0,0.03615741636899661,1,0.0
DELL,Dell Technologies,"Computers, Office Equipment",COMP,2024,4,-0.2830213542609129,107.83808405865953,0,0,0,2.0,0.016579753368037353,0,0.0
DIS,Walt Disney,Entertainment,ENTE,2024,4,0.3871570979229543,64.69227478574976,0,0,0,1.0,0.3871570979229543,0,0.0
DOW,Dow,Chemicals,CHEM,2024,4,-0.4896808266221252,63.413680308679716,0,0,0,1.0,-0.4896808266221252,0,0.0
ELV,Elevance Health,Health Care,HEAL,2024,4,-0.26902638083716696,53.76207191377836,0,0,0,4.0,-0.2679536009151212,0,0.0
EPD,Enterprise Products Partners,Pipelines,PIPE,2024,4,0.205842024529034,40.16003239752144,0,0,0,2.0,0.277113951951695,0,0.0
ET,Energy Transfer,Pipelines,PIPE,2024,4,0.49584446997940584,54.48833365438367,0,0,0,1.0,0.277113951951695,1,0.0
F,Ford Motor,Motor Vehicles & Parts,MOTO,2024,4,-0.035017707384629025,75.38638556898157,0,0,0,3.0,0.5091930553624159,0,0.0
FDX,Fedex,"Mail, Package, And Freight Delivery",MAIL,2024,4,0.07838969764163259,51.04723048125053,0,0,0,1.0,-0.02496639713869428,1,0.0
FMCC,Freddie Mac,Diversified Financials,DIVE,2024,4,3.071126085818743,449.775779152164,0,0,0,1.0,1.6095073509330742,1,0.0
FNMA,Fannie Mae,Diversified Financials,DIVE,2024,4,2.9196391609724968,411.783401207621,0,0,0,2.0,1.6095073509330742,1,0.0
GE,General Electric,Industrial Machinery,INDU,2024,4,-0.03271242516110891,65.93889620490206,0,0,0,1.0,-0.03271242516110891,0,0.0
GM,General Motors,Motor Vehicles & Parts,MOTO,2024,4,0.16086115485863156,85.86967986552668,0,0,0,2.0,0.5091930553624159,0,0.0
GOOGL,Alphabet,Internet Services And Retailing,INTE,2024,4,0.3006097858048173,77.77909374185576,0,0,0,1.0,0.21024273829272638,1,0.0
GS,Goldman Sachs Group,Commercial Banks,COMM,2024,4,0.2900574125944443,124.45538342834843,0,0,0,1.0,0.235234496010318,1,0.0
HCA,Hca Healthcare,Health Care: Medical Facilities,HEAL,2024,4,-0.43480833285621057,61.93931735338508,0,0,0,1.0,-0.43480833285621057,0,0.0
HD,Home Depot,Specialty Retailers,SPEC,2024,4,0.003234946355487209,58.38457326509432,0,0,0,3.0,0.03202006284909637,0,0.0
HUM.ST,Humana,Health Care,HEAL,2024,4,-0.1324327809482884,91.71194524438141,0,0,0,2.0,-0.2679536009151212,1,0.0
IBM,Ibm,Information Technology Services,INFO,2024,4,0.16986174171130392,52.36564438409464,0,0,0,1.0,0.16986174171130392,0,0.0
INTC,Intel,Semiconductor And Electronics,SEMI,2024,4,-0.3504442488910412,127.19096754573187,0,0,0,2.0,-0.14393998078006734,0,0.0
JNJ,Johnson & Johnson,Pharmaceutical,PHAR,2024,4,-0.2529780181262993,31.075675328193693,0,0,0,3.0,-0.1294736593815695,0,0.0
JPM,Jp Morgan Chase,Commercial Banks,COMM,2024,4,0.20034865697631452,112.03531775291752,0,0,0,6.0,0.235234496010318,0,0.0
KR,Kroger,Food & Drug Stores,FOOD,2024,4,0.2247205163474238,60.02967967031883,0,0,0,1.0,0.18058877569242984,1,0.0
LFG.AX,Liberty Mutual Insurance Group,Insurance,INSU,2024,4,0.2807208218540259,68.24649625860063,0,0,0,1.0,0.11774852833609,1,0.0
LMT,Lockheed Martin,"Aerospace, Defense",AERO,2024,4,-0.2786982084200743,47.29114648326737,0,0,0,3.0,0.00582458524993078,0,0.0
MCK,Mckesson,Wholesalers,WHOL,2024,4,0.22543299138558046,96.46633929638176,0,0,0,1.0,0.06337057562584998,1,0.0
MET,Metlife,Insurance,INSU,2024,4,0.1284646755949643,73.88082637044803,0,0,0,5.0,0.11774852833609,1,0.0
META,Meta Platforms,Internet Services And Retailing,INTE,2024,4,0.1198756907806355,64.42899719081807,0,0,0,2.0,0.21024273829272638,0,0.0
MPC,Marathon Petroleum,Petroleum Refining,PETR,2024,4,-0.1064405040720581,62.268017574442204,0,0,0,1.0,-0.1407879560341013,1,0.0
MRK,Merck,Pharmaceutical,PHAR,2024,4,-0.05949265196993405,46.33573106496193,0,0,0,2.0,-0.1294736593815695,1,0.0
MS,Morgan Stanley,Commercial Banks,COMM,2024,4,0.20912305271787873,110.72694473782325,0,0,0,5.0,0.235234496010318,0,0.0
MSFT,Microsoft,Computer Software,COMP,2024,4,0.09871684717332015,43.6408182251466,0,0,0,1.0,0.03688554699262385,1,0.0
NKE,Nike,Apparel,APPA,2024,4,-0.08959136749559399,58.22237745301833,0,0,0,1.0,-0.08959136749559399,0,0.0
NVDA,Nvidia,Semiconductor And Electronics,SEMI,2024,4,0.06256428733090653,85.18771733186499,0,0,0,1.0,-0.14393998078006734,1,0.0
ORCL,Oracle,Computer Software,COMP,2024,4,-0.024945753188072455,76.91066693141724,0,0,0,2.0,0.03688554699262385,0,0.0
PAGP,Plains Gp Holdings,Pipelines,PIPE,2024,4,0.12965536134664532,68.12508189109961,0,0,0,3.0,0.277113951951695,0,0.0
PEP,Pepsico,Food Consumer Products,FOOD,2024,4,-0.19163444657142364,42.98402070689077,0,0,0,1.0,-0.19163444657142364,0,0.0
PFGC,Performance Food Group,Wholesalers,WHOL,2024,4,0.1131927293272986,75.38824266899675,0,0,0,2.0,0.06337057562584998,1,0.0
PFIZER.NS,Pfizer,Pharmaceutical,PHAR,2024,4,0.12549878310695237,42.95379839634265,0,0,0,1.0,-0.1294736593815695,1,0.0
PG,Procter & Gamble,Household And Personal Products,HOUS,2024,4,0.035585502716347125,46.28554675030996,0,0,0,1.0,0.035585502716347125,0,0.0
PGR,Progressive,Insurance,INSU,2024,4,-0.020486497573615755,64.4241840754753,0,0,0,6.0,0.11774852833609,0,0.0
PRU,Prudential Financial,Insurance,INSU,2024,4,-0.026404454615305696,75.22776836618432,0,0,0,7.0,0.11774852833609,0,0.0
PSX,Phillips 66,Petroleum Refining,PETR,2024,4,-0.13694021287731464,59.860734805667526,0,0,0,3.0,-0.1407879560341013,1,0.0
RTX,Rtx,"Aerospace, Defense",AERO,2024,4,-0.05392020027051462,55.28959156078765,0,0,0,2.0,0.00582458524993078,0,0.0
SNEX,Stonex Group,Diversified Financials,DIVE,2024,4,0.21524742270816147,78.64255339012418,0,0,0,4.0,1.6095073509330742,0,0.0
SNX,Td Synnex,Wholesalers,WHOL,2024,4,0.03353883784285608,68.85885343864967,0,0,0,5.0,0.06337057562584998,0,0.0
SYY,Sysco,Wholesalers,WHOL,2024,4,0.05073773773946892,43.099682078287614,0,0,0,3.0,0.06337057562584998,0,0.0
TGT,Target,General Merchandisers,GENE,2024,4,-0.17804106516769086,147.1782595028187,0,0,0,3.0,0.06962479983240162,0,0.0
TILIX,Tiaa,Insurance,INSU,2024,4,0.2620062865160039,48.783136265668084,0,0,0,3.0,0.11774852833609,1,0.0
TJX,Tjx,Specialty Retailers,SPEC,2024,4,0.19902428725549406,30.492644690841956,0,0,0,1.0,0.03202006284909637,1,0.0
TSLA,Tesla,Motor Vehicles & Parts,MOTO,2024,4,1.401735718613245,194.87362453972233,0,0,0,1.0,0.5091930553624159,1,0.0
TSN,Tyson Foods,Food Production,FOOD,2024,4,-0.023779275380448973,60.21738196855118,0,0,0,1.0,-1.7353720462765017,1,0.0
UAL,United Airlines Holdings,Airlines,AIRL,2024,4,0.5320823963702827,119.75341127283019,0,0,0,1.0,0.32558102531208066,1,0.0
UNH,Unitedhealth Group,Health Care,HEAL,2024,4,-0.23971527222668398,88.76063375092747,0,0,0,3.0,-0.2679536009151212,1,0.0
UPS,United Parcel Service,"Mail, Package, And Freight Delivery",MAIL,2024,4,-0.12832249191902115,49.463573866182024,0,0,0,2.0,-0.02496639713869428,0,0.0
VLO,Valero Energy,Petroleum Refining,PETR,2024,4,-0.14280678693754528,64.7845705196314,0,0,0,4.0,-0.1407879560341013,0,0.0
VZ,Verizon Communications,Telecommunications,TELE,2024,4,-0.10313318930070921,38.88885657227122,0,0,0,2.0,-0.0656234128790886,0,0.0
WFC,Wells Fargo,Commercial Banks,COMM,2024,4,0.2567924320996169,126.46453217757181,0,0,0,3.0,0.235234496010318,1,0.0
WKC,World Kinect,Energy,ENER,2024,4,0.1021004008063527,70.63166212610471,0,0,0,1.0,0.1021004008063527,0,0.0
WMT,Walmart,General Merchandisers,GENE,2024,4,0.25530157277023935,39.001507370155025,0,0,0,1.0,0.06962479983240162,1,0.0
X1G.PA,Lowe'S,Specialty Retailers,SPEC,2024,4,0.023893562812468325,8.799788352170934,0,0,0,2.0,0.03202006284909637,0,0.0
XOM,Exxon Mobil,Petroleum Refining,PETR,2024,4,-0.18197462535455605,46.75245872053326,0,0,0,5.0,-0.1407879560341013,0,0.0
