SectorName,SectorCode,AvgVolatility,AvgReturn,Resilience,AvgRank,CompanyCount
Diversified Financials,DIVE,255.26274490356445,1.6095073111355305,0.0,2.5,4
Food Production,FOOD,181.87538274129233,-1.7353720472504695,0.0,2.0,3
Metals & Mining,META,123.09174346923828,0.7084213495254517,0.0,1.0,1
Motor Vehicles & Parts,MOTO,118.70989735921223,0.509193035463492,0.0,2.0,3
Commercial Banks,COMM,111.88417271205357,0.23523450110639846,0.0,4.0,7
Airlines,AIRL,108.0158576965332,0.32558101788163185,0.0,1.5,2
Semiconductor And Electronics,SEMI,106.18933868408203,-0.14393998682498932,0.0,1.5,2
Health Care,HEAL,91.04276339213054,-0.26795359949270886,0.0,3.5,6
Construction And Farm Machinery,CONS,86.91655349731445,0.03615741804242134,0.0,1.5,2
General Merchandisers,GENE,77.2429428100586,0.06962479650974274,0.0,2.0,3
Financial Services,FINA,72.76331329345703,0.29598769545555115,0.0,1.0,1
Insurance,INSU,71.57685995101929,0.11774852755479515,0.0,4.5,8
Internet Services And Retailing,INTE,71.10404586791992,0.21024274453520775,0.0,1.5,2
"Computers, Office Equipment",COMP,70.87527084350586,0.016579747200012207,0.0,1.5,2
Energy,ENER,70.63166046142578,0.10210040211677551,0.0,1.0,1
Telecommunications,TELE,70.42063331604004,-0.06562341004610062,0.0,2.5,4
Wholesalers,WHOL,68.15087636311848,0.06337057550748189,0.0,3.5,6
Industrial Machinery,INDU,65.93889617919922,-0.0327124260365963,0.0,1.0,1
Entertainment,ENTE,64.69227600097656,0.3871571123600006,0.0,1.0,1
Chemicals,CHEM,63.41368103027344,-0.48968082666397095,0.0,1.0,1
Health Care: Medical Facilities,HEAL,61.93931579589844,-0.4348083436489105,0.0,1.0,1
Computer Software,COMP,60.27574348449707,0.03688554745167494,0.0,1.5,2
"Aerospace, Defense",AERO,59.675490061442055,0.005824588239192963,0.0,2.0,3
"Mining, Crude-Oil Production",MINI,58.37190246582031,-0.23502640426158905,0.0,1.0,1
Apparel,APPA,58.22237777709961,-0.0895913690328598,0.0,1.0,1
Pharmaceutical,PHAR,56.45986080169678,-0.1294736610725522,0.0,2.5,4
Food & Drug Stores,FOOD,55.89399337768555,0.18058878183364868,0.0,1.5,2
Petroleum Refining,PETR,55.81941452026367,-0.14078795462846755,0.0,3.0,5
Pipelines,PIPE,54.25781758626302,0.27711395422617596,0.0,2.0,3
Information Technology Services,INFO,52.36564254760742,0.16986174881458282,0.0,1.0,1
"Mail, Package, And Freight Delivery",MAIL,50.255401611328125,-0.024966400116682053,0.0,1.5,2
Household And Personal Products,HOUS,46.285545349121094,0.03558550402522087,0.0,1.0,1
Specialty Retailers,SPEC,43.609153509140015,0.032020063896197826,0.0,2.5,4
Food Consumer Products,FOOD,42.9840202331543,-0.19163444638252258,0.0,1.0,1
Network And Other Communications Equipment,NETW,39.05730056762695,0.16559916734695435,0.0,1.0,1
Beverage,BEVE,12.632180213928223,-0.09937849640846252,0.0,1.0,1
