Ticker,Company,Industry,AvgReturn,AvgVolatility,TradingDays
601336.SS,New York Life Insurance,,0.0,0.0,1
AAL,American Airlines,,0.0,0.0,1
ABBV,AbbVie,,0.0,0.0,1
ACI,Albertsons,,0.0,0.0,1
ADM,Archer Daniels Midland,,0.0,0.0,1
ALL,Allstate,,0.0,0.0,1
AMZN,Amazon,,0.0,0.0,1
APLE,Apple,,0.0,0.0,1
ATT.L,AT&T,,0.0,0.0,1
AVGO,Broadcom,,0.0,0.0,1
AXP,American Express,,0.0,0.0,1
BA,Boeing,,0.0,0.0,1
BAC,Bank of America,,0.0,0.0,1
CAH,Cardinal Health,,0.0,0.0,1
CAT,Caterpillar,,0.0,0.0,1
CHTR,Charter Communications,,0.0,0.0,1
CI,Cigna,,0.0,0.0,1
CITI.NE,Citi,,0.0,0.0,1
CMCSA,Comcast,,0.0,0.0,1
CNC,Centene,,0.0,0.0,1
