Ticker,Company,Sector,CurrencyCorrelation,AvgReturn
601336.SS,New York Life Insurance,Insurance,0.0,0.0
AAL,American Airlines Group,Metals & Mining,0.0,0.0
AAPL,Apple,"Computers, Office Equipment",0.0,0.0
ABBV,Abbvie,Pharmaceutical,0.0,0.0
ACI,Albertsons,Food & Drug Stores,0.0,0.0
ADM,Archer Daniels Midland,Food Production,0.0,0.0
AIG,Aig,Insurance,0.0,0.0
ALL,Allstate,Insurance,0.0,0.0
AMZN,Amazon,Financial Services,0.0,0.0
ATT.L,At&T,Telecommunications,0.0,0.0
AXP,American Express,Diversified Financials,0.0,0.0
BA,Boeing,"Aerospace, Defense",0.0,0.0
BAC,Bank Of America,Commercial Banks,0.0,0.0
BBY,Best Buy,Specialty Retailers,0.0,0.0
C,Citigroup,Commercial Banks,0.0,0.0
CAH,Cardinal Health,Wholesalers,0.0,0.0
CAT,Caterpillar,Construction And Farm Machinery,0.0,0.0
CHS.V,Chs,Food Production,0.0,0.0
CHTR,Charter Communications,Telecommunications,0.0,0.0
CI,Cigna,Health Care,0.0,0.0
