company,ticker,date,open,high,low,close,volume
Walmart,WMT,2021-12-03,42.9,43.54,42.72,43.42,44142600
Amazon,AMZN,2021-12-03,172.75,173.49,166.93,169.49,80712000
Apple,APLE,2021-12-03,11.93,11.98,11.7,11.79,2643800
CVS Health,CVS,2021-12-03,79.04,79.87,78.58,79.24,5660200
UnitedHealth Group,UNH,2021-12-03,421.34,427.62,418.9,422.8,3038300
McKesson,MCK,2021-12-03,218.25,219.71,212.79,214.39,1426100
Alphabet,GOOGL,2021-12-03,142.7,143.41,139.34,141.03,41230000
Exxon Mobil,XOM,2021-12-03,53.72,53.99,52.36,52.83,22014700
AT&T,ATT.L,2021-12-03,350.0,354.0,339.0,341.5,625169
Costco Wholesale,COST,2021-12-03,505.29,512.45,500.31,504.28,2984400
Cigna,CI,2021-12-03,185.25,187.96,184.58,186.24,2363900
Cardinal Health,CAH,2021-12-03,42.85,43.5,42.67,42.88,2664900
Microsoft,MSFT,2021-12-03,321.23,321.91,307.72,312.54,41779300
Kroger,KR,2021-12-03,41.28,41.39,39.39,39.84,12398500
Home Depot,HD,2021-12-03,372.83,378.36,367.92,370.97,5237500
JPMorgan Chase,JPM,2021-12-03,145.4,145.7,141.52,142.51,12681800
Verizon Communications,VZ,2021-12-03,39.19,39.89,39.14,39.84,24711700
Ford Motor,F,2021-12-03,15.53,15.56,14.44,14.6,120275200
General Motors,GM,2021-12-03,59.2,59.64,56.91,57.73,19596100
Elevance Health,ELV,2021-12-03,379.77,383.96,373.03,375.5,1495700
Centene,CNC,2021-12-03,71.71,72.55,70.31,71.05,3440200
Fannie Mae,FNMA,2021-12-03,1.01,1.01,0.95,0.96,3565000
Comcast,CMCSA,2021-12-03,45.54,46.26,45.51,45.84,22351400
Chevron,CVX,2021-12-03,99.34,99.56,96.66,97.36,10445100
Dell Technologies,DELL,2021-12-03,52.71,53.76,52.65,53.61,8107200
Bank of America,BAC,2021-12-03,40.86,40.92,39.59,39.83,74605300
Target,TGT,2021-12-03,217.7,219.18,216.45,218.44,4838700
Lowe's,X1G.PA,2021-12-03,258.69,259.46,258.45,259.1,891
Marathon Petroleum,MPC,2021-12-03,58.6,58.65,56.03,56.3,8031800
Citigroup,C,2021-12-03,54.94,55.27,53.82,54.1,25458700
Meta Platforms,META,2021-12-03,311.81,311.83,297.66,304.96,27471000
UPS,UPS,2021-12-03,167.06,168.38,164.34,166.81,2606400
Johnson & Johnson,JNJ,2021-12-03,141.35,142.92,141.06,142.66,8750500
Wells Fargo,WFC,2021-12-03,44.5,44.5,42.79,43.14,29221900
General Electric,GE,2021-12-03,58.13,58.27,56.06,56.69,12973646
Intel,INTC,2021-12-03,46.08,46.43,45.22,45.68,32224900
Humana,HUM.ST,2021-12-03,69.16,69.16,66.92,67.21,81272
IBM,IBM,2021-12-03,100.22,101.93,100.22,101.48,6630100
Procter & Gamble,PG,2021-12-03,133.9,135.69,133.57,135.58,11200800
PepsiCo,PEP,2021-12-03,143.83,146.87,143.72,146.72,6465900
FedEx,FDX,2021-12-03,217.76,222.11,217.53,221.64,2438300
MetLife,MET,2021-12-03,52.92,53.13,52.16,52.59,6035900
Freddie Mac,FMCC,2021-12-03,1.0,1.04,0.96,0.96,1744100
Phillips 66,PSX,2021-12-03,62.46,62.79,59.85,60.31,3219500
Lockheed Martin,LMT,2021-12-03,299.82,302.56,298.9,302.04,1603200
Walt Disney,DIS,2021-12-03,145.39,145.89,141.95,143.82,14975600
Archer Daniels Midland,ADM,2021-12-03,55.89,56.61,55.3,55.71,2294700
Albertsons,ACI,2021-12-03,24.61,24.89,24.15,24.39,1581000
Valero Energy,VLO,2021-12-03,63.61,63.84,60.88,61.37,4134200
Boeing,BA,2021-12-03,198.7,199.9,195.42,198.49,10742700
Prudential Financial,PRU,2021-12-03,85.07,85.89,83.74,84.59,2329300
HP,HP,2021-12-03,18.71,18.9,17.9,18.25,1582200
StoneX Group,SNEX,2021-12-03,27.76,27.87,27.03,27.5,188100
Goldman Sachs Group,GS,2021-12-03,354.04,354.04,344.19,347.54,2807500
Sysco,SYY,2021-12-03,63.62,63.76,62.61,63.0,2680100
Morgan Stanley,MS,2021-12-03,87.32,88.04,84.54,85.72,9811800
HCA Healthcare,HCA,2021-12-03,225.89,225.89,220.7,222.1,1404200
Cisco Systems,CSCO,2021-12-03,50.0,50.47,49.44,49.94,26235400
Charter Communications,CHTR,2021-12-03,675.0,681.8,669.51,679.3,1336500
Merck,MRK,2021-12-03,65.45,65.59,64.19,64.79,14508900
Best Buy,BBY,2021-12-03,87.17,88.43,86.43,88.28,4048800
New York Life Insurance,601336.SS,2021-12-03,33.11,33.34,32.91,33.33,6631286
AbbVie,ABBV,2021-12-03,101.53,102.62,100.89,102.49,6428100
Allstate,ALL,2021-12-03,100.11,101.06,98.25,98.79,2814700
Liberty Mutual Insurance Group,LFG.AX,2021-12-03,3.91,3.91,3.8,3.8,10485
AIG,AIG,2021-12-03,49.27,49.52,48.49,48.73,5056200
Tyson Foods,TSN,2021-12-03,72.56,73.75,72.48,73.33,3070800
Progressive,PGR,2021-12-03,91.65,91.82,89.78,90.79,2605700
Pfizer,PFIZER.NS,2021-12-03,4664.88,4699.39,4617.08,4631.4,56545
Caterpillar,CAT,2021-12-03,183.5,185.09,181.71,183.62,3250900
TIAA,TILIX,2021-12-03,38.12,38.12,38.12,38.12,0
Oracle,ORCL,2021-12-03,85.57,85.99,83.08,83.57,10808600
Energy Transfer,ET,2021-12-03,6.02,6.12,5.84,5.94,19802400
Dow,DOW,2021-12-03,42.83,43.49,42.61,42.88,6969100
American Express,AXP,2021-12-03,150.34,150.58,146.11,148.31,4069300
General Dynamics,GD,2021-12-03,178.69,181.77,178.55,181.37,1424200
Nike,NKE,2021-12-03,161.1,162.47,157.46,160.74,4878500
Northrop Grumman,NOC,2021-12-03,331.86,337.09,331.86,336.79,746400
USAA,UIPMX,2021-12-03,17.36,17.36,17.36,17.36,0
Deere,DE,2021-12-03,334.15,334.55,326.93,330.95,1379600
Abbott Laboratories,ABT,2021-12-03,119.57,121.04,118.78,120.86,5254500
Northwestern Mutual,NWE,2021-12-03,46.32,46.6,45.71,46.11,429400
Dollar General,DG,2021-12-03,202.85,209.31,200.73,207.45,3111400
Exelon,EXC,2021-12-03,32.95,33.03,31.97,32.59,11724365
Honeywell International,HON,2021-12-03,176.6,177.01,174.0,176.16,3762200
Thermo Fisher Scientific,TMO,2021-12-03,627.35,629.78,611.7,629.29,1698500
3M,MMM,2021-12-03,121.9,124.06,121.39,123.83,3610604
TJX,TJX,2021-12-03,66.46,66.83,65.77,66.62,7970100
Travelers,TRV,2021-12-03,138.51,139.37,136.36,137.71,1380500
Capital One Financial,COF,2021-12-03,133.01,133.68,130.83,131.96,2772900
Tesla,TSLA,2021-12-03,361.6,363.53,333.4,338.32,92322000
Walmart,WMT,2021-12-02,43.46,43.71,42.7,42.78,39805800
Amazon,AMZN,2021-12-02,173.0,174.63,171.19,171.87,64726000
Apple,APLE,2021-12-02,11.54,12.13,11.46,11.92,3269800
CVS Health,CVS,2021-12-02,77.72,79.51,77.44,78.47,5992700
UnitedHealth Group,UNH,2021-12-02,415.64,420.09,411.95,418.33,4738700
McKesson,MCK,2021-12-02,212.3,219.09,212.15,216.1,1092400
Alphabet,GOOGL,2021-12-02,140.28,142.88,139.25,141.99,29194000
Exxon Mobil,XOM,2021-12-02,51.83,53.42,51.31,53.16,29216000
AT&T,ATT.L,2021-12-02,349.0,353.0,343.5,349.5,1244128
Costco Wholesale,COST,2021-12-02,494.34,506.17,490.08,501.02,3277500
Cigna,CI,2021-12-02,181.43,185.48,180.44,184.31,2226600
Cardinal Health,CAH,2021-12-02,42.28,43.09,42.2,42.68,3424400
Microsoft,MSFT,2021-12-02,319.59,322.68,317.17,318.81,30766000
Kroger,KR,2021-12-02,38.95,41.9,38.28,40.95,26027500
Home Depot,HD,2021-12-02,365.52,373.6,364.78,370.94,3705000
JPMorgan Chase,JPM,2021-12-02,143.9,146.98,142.97,145.14,12969900
Verizon Communications,VZ,2021-12-02,38.6,39.64,38.57,39.3,27364400
Ford Motor,F,2021-12-02,14.87,15.34,14.7,15.15,94142300
General Motors,GM,2021-12-02,56.8,59.26,56.75,58.99,25365100
Elevance Health,ELV,2021-12-02,383.48,386.71,375.86,380.01,2032400
Centene,CNC,2021-12-02,70.41,71.71,69.51,71.42,3798200
Fannie Mae,FNMA,2021-12-02,1.04,1.06,0.97,1.02,6050900
Comcast,CMCSA,2021-12-02,44.05,46.0,43.98,45.59,26158400
Chevron,CVX,2021-12-02,96.37,98.45,95.25,97.98,11392400
Dell Technologies,DELL,2021-12-02,50.88,52.5,50.88,52.39,6671100
Bank of America,BAC,2021-12-02,40.25,41.31,39.95,40.76,57821400
Target,TGT,2021-12-02,213.43,217.6,212.99,216.61,3684000
Lowe's,X1G.PA,2021-12-02,257.65,258.79,257.65,258.79,3470
Marathon Petroleum,MPC,2021-12-02,55.61,57.95,55.29,57.82,6298500
Citigroup,C,2021-12-02,54.6,55.4,54.1,55.01,24890700
Meta Platforms,META,2021-12-02,309.49,312.67,305.32,308.49,24396200
UPS,UPS,2021-12-02,162.28,166.72,161.06,166.12,2423400
Johnson & Johnson,JNJ,2021-12-02,140.76,142.58,140.31,140.61,11334700
Wells Fargo,WFC,2021-12-02,43.12,44.63,42.92,44.18,29184900
General Electric,GE,2021-12-02,57.57,58.53,56.72,58.2,9782400
Intel,INTC,2021-12-02,45.08,46.18,44.82,45.91,37240800
Humana,HUM.ST,2021-12-02,68.19,68.77,67.02,68.38,53390
IBM,IBM,2021-12-02,100.23,100.75,99.54,99.83,5267100
Procter & Gamble,PG,2021-12-02,132.99,134.3,132.92,133.21,9468800
PepsiCo,PEP,2021-12-02,142.64,144.03,142.37,143.07,4619800
FedEx,FDX,2021-12-02,209.63,218.31,209.27,216.54,2143100
MetLife,MET,2021-12-02,51.12,52.97,51.01,52.51,6069600
Freddie Mac,FMCC,2021-12-02,1.03,1.07,0.98,1.02,3503700
Phillips 66,PSX,2021-12-02,59.3,61.8,58.52,61.49,3617500
Lockheed Martin,LMT,2021-12-02,298.6,302.13,297.08,299.07,1804100
Walt Disney,DIS,2021-12-02,140.5,145.23,140.43,144.79,18177700
Archer Daniels Midland,ADM,2021-12-02,55.29,56.11,55.12,55.6,2090700
Albertsons,ACI,2021-12-02,23.62,24.66,23.41,24.59,1238100
Valero Energy,VLO,2021-12-02,59.14,63.07,58.72,62.66,5242800
Boeing,BA,2021-12-02,196.8,202.54,192.41,202.38,20435400
Prudential Financial,PRU,2021-12-02,83.16,85.95,82.67,85.16,2056600
HP,HP,2021-12-02,18.01,18.6,17.74,18.39,2816900
StoneX Group,SNEX,2021-12-02,26.93,27.99,26.69,27.73,299025
