Ticker,Company,Industry,AvgReturn,AvgVolatility,TradingDays
LLY,Eli Lilly,,2.1359394788742065,2.0018720388412476,5
CSCO,Cisco Systems,Network And Other Communications Equipment,1.89421706199646,1.4733879804611205,5
MRK,Merck,Pharmaceutical,1.508719777315855,1.7619155406951905,5
UIPMX,USAA,,1.326524031162262,3.107008123397827,5
HP,HP,,1.2683246374130248,2.8654259204864503,5
ABBV,AbbVie,Pharmaceutical,1.1909940347075463,1.6687523126602173,5
ALL,Allstate,Insurance,1.1608223795890809,1.4496557712554932,5
COP,ConocoPhillips,"Mining, Crude-Oil Production",1.0380186021327973,1.6617275476455688,5
NKE,Nike,Apparel,1.0173391461372376,2.0804188728332518,5
JNJ,Johnson & Johnson,Pharmaceutical,0.988504832983017,0.854214322566986,5
PGR,Progressive,Insurance,0.7183317586779594,1.8317501544952393,5
VLO,Valero Energy,Petroleum Refining,0.7077657341957092,2.1201499938964843,5
ET,Energy Transfer,Pipelines,0.6773830011487008,1.1077926397323608,5
MET,MetLife,Insurance,0.6573791980743409,1.5424153089523316,5
KR,Kroger,Food & Drug Stores,0.6572637796401978,1.5397281169891357,5
MPC,Marathon Petroleum,Petroleum Refining,0.6490683555603027,2.0526422023773194,5
COLA.WA,Coca-Cola,Beverage,0.6440395526587963,1.0468850135803223,3
PSX,Phillips 66,Petroleum Refining,0.6352628111839295,1.5231840848922729,5
EPD,Enterprise Products Partners,Pipelines,0.6330443844199181,0.8452977657318115,5
ADM,Archer Daniels Midland,Food Production,0.5803489565849305,1.8219733238220215,5
