ticker,company,sector_name,sector_code,year,quarter,avg_return,total_volatility,correlation_gdp,correlation_inflation,currency_impact,sector_rank,sector_avg_return,outperforming_sector,recession_resilience_score
601336.SS,New York Life Insurance,Insurance,INSU,2024,1,-0.7123021511786435,7.850738143432228,0,0,0,8.0,0.09471079485621561,0,0.0
AAL,American Airlines Group,Metals & Mining,META,2024,1,-0.9418464231956939,10.646128166520544,0,0,0,1.0,-0.9418464231956939,0,0.0
AAPL,Apple,"Computers, Office Equipment",COMP,2024,1,-0.012395516194858059,2.7770390610477693,0,0,0,1.0,-0.789515296930845,1,0.0
ABBV,Abbvie,Pharmaceutical,PHAR,2024,1,-0.19136716504635504,2.8627905734019143,0,0,0,3.0,-0.19036878860286743,0,0.0
ACI,Albertsons,Food & Drug Stores,FOOD,2024,1,-0.03666574675327907,2.426264119291449,0,0,0,2.0,0.17627621109369873,0,0.0
ADM,Archer Daniels Midland,Food Production,FOOD,2024,1,1.5661677913560033,8.369628703509102,0,0,0,2.0,8.350377482041107,0,0.0
AIG,Aig,Insurance,INSU,2024,1,0.45699618626424793,2.8928002162728887,0,0,0,2.0,0.09471079485621561,1,0.0
ALL,Allstate,Insurance,INSU,2024,1,0.28354334571532375,1.5934968431933223,0,0,0,3.0,0.09471079485621561,1,0.0
AMZN,Amazon,Financial Services,FINA,2024,1,0.2959457247553311,4.961082118793872,0,0,0,1.0,0.2959457247553311,0,0.0
ATT.L,At&T,Telecommunications,TELE,2024,1,-0.1427587136029987,1.4891896071483426,0,0,0,1.0,-0.3306435059921876,1,0.0
AXP,American Express,Diversified Financials,DIVE,2024,1,-0.15486855700717692,3.1728981571339627,0,0,0,1.0,-0.27074977450083404,1,0.0
BA,Boeing,"Aerospace, Defense",AERO,2024,1,-1.0416096629428393,9.115744099733119,0,0,0,3.0,-0.21850893643319927,0,0.0
BAC,Bank Of America,Commercial Banks,COMM,2024,1,-0.2713317930467606,1.573525681114861,0,0,0,6.0,0.020453133521311916,0,0.0
BBY,Best Buy,Specialty Retailers,SPEC,2024,1,0.42089675960122597,2.686412583559986,0,0,0,1.0,0.15300384013034965,1,0.0
C,Citigroup,Commercial Banks,COMM,2024,1,0.07221123161370908,1.8341203688662158,0,0,0,4.0,0.020453133521311916,1,0.0
CAH,Cardinal Health,Wholesalers,WHOL,2024,1,-0.8456773773940585,6.086697282099025,0,0,0,6.0,-0.02136908779213895,0,0.0
CAT,Caterpillar,Construction And Farm Machinery,CONS,2024,1,0.7082539749299073,2.359929624805379,0,0,0,1.0,0.5759507188266433,1,0.0
CHS.V,Chs,Food Production,FOOD,2024,1,23.33333333333332,323.29379704915993,0,0,0,1.0,8.350377482041107,1,0.0
CHTR,Charter Communications,Telecommunications,TELE,2024,1,-0.508395714062648,4.367006308770011,0,0,0,4.0,-0.3306435059921876,0,0.0
CI,Cigna,Health Care,HEAL,2024,1,0.5661597200602284,2.1939394002286896,0,0,0,1.0,0.08133658688475572,1,0.0
CMCSA,Comcast,Telecommunications,TELE,2024,1,-0.3524561514310516,2.2930399078606944,0,0,0,3.0,-0.3306435059921876,0,0.0
CNC,Centene,Health Care,HEAL,2024,1,-0.6630888683447929,3.554005949459063,0,0,0,6.0,0.08133658688475572,0,0.0
COF,Capital One Financial,Commercial Banks,COMM,2024,1,-0.4145974042402246,4.022571838795369,0,0,0,7.0,0.020453133521311916,0,0.0
COP,Conocophillips,"Mining, Crude-Oil Production",MINI,2024,1,0.823573304369221,3.8360788943617057,0,0,0,1.0,0.823573304369221,0,0.0
COR,Cencora,Wholesalers,WHOL,2024,1,0.04890486165168385,2.506200795342651,0,0,0,4.0,-0.02136908779213895,1,0.0
COST,Costco,General Merchandisers,GENE,2024,1,0.33185624960238497,7.557979391011982,0,0,0,1.0,-0.016818029705656375,1,0.0
CSCO,Cisco Systems,Network And Other Communications Equipment,NETW,2024,1,-0.5138314716677548,1.4652053765757307,0,0,0,1.0,-0.5138314716677548,0,0.0
CVS,Cvs,Health Care,HEAL,2024,1,0.38486395960174513,3.4736331371266846,0,0,0,2.0,0.08133658688475572,1,0.0
CVX,Chevron,Petroleum Refining,PETR,2024,1,0.4637078636154432,2.3056071987290534,0,0,0,4.0,1.0378885185734283,0,0.0
DAL,Delta Air Lines,Airlines,AIRL,2024,1,0.2155579988969336,5.181634931594276,0,0,0,2.0,0.2817671372222936,0,0.0
DE,Deere,Construction And Farm Machinery,CONS,2024,1,0.4436474627233794,3.4782359099293823,0,0,0,2.0,0.5759507188266433,0,0.0
DELL,Dell Technologies,"Computers, Office Equipment",COMP,2024,1,-1.5666350776668319,6.236322555372664,0,0,0,2.0,-0.789515296930845,0,0.0
DIS,Walt Disney,Entertainment,ENTE,2024,1,-0.06488310656917595,0.6030620944051213,0,0,0,1.0,-0.06488310656917595,0,0.0
DOW,Dow,Chemicals,CHEM,2024,1,-0.13302146906161325,2.016563304300053,0,0,0,1.0,-0.13302146906161325,0,0.0
ELV,Elevance Health,Health Care,HEAL,2024,1,0.2476459354408833,1.535423386595028,0,0,0,3.0,0.08133658688475572,1,0.0
