SectorName,SectorCode,AvgVolatility,AvgReturn,Resilience,AvgRank,CompanyCount
Diversified Financials,DIVE,197.09042358398438,0.4025990792683193,0.005673699080944061,1.0,4
Health Care,HEAL,162.76898320515951,0.09874910985430081,0.08083598129451275,1.5,2
"Mail, Package, and Freight Delivery",MAIL,129.68396504720053,-0.11456597844759624,0.14537160843610764,1.5,2
Securities,,117.0725835164388,0.15586026012897491,0.29551589488983154,1.0,1
Food,,112.55343373616536,0.1254747249186039,0.07631760090589523,1.0,1
Industrial and Farm Equipment,,110.38417307535808,0.16654408474763235,0.15831683576107025,1.0,1
Insurance: Property and Casualty (Mutual),,107.26490529378255,0.08214874813954036,0.053236301988363266,1.0,1
Wholesalers,WHOL,104.2613296508789,0.1342068009544164,0.041304271668195724,1.5,2
Health Care: Insurance and Managed Care,,101.81602401733399,-0.06395833399146796,0.0334100978448987,1.6,4
Pharmaceutical,PHAR,96.90423329671223,0.17467418313026428,0.11439917981624603,1.0,1
Internet Services and Retailing,INTE,91.43455166286893,0.054968542522854276,0.13069156308968863,1.3333333333333333,3
"Insurance: Life, Health (Stock)",INSU,89.63814336603338,0.01492354475935413,0.11691624637354504,1.8181818181818181,3
Petroleum Refining,PETR,88.40590847239775,0.09616181911791072,-0.019087206955780003,2.0588235294117645,6
Information Technology Services,INFO,86.80416107177734,0.12466353178024292,0.08792623691260815,1.0,1
Insurance: Property and Casualty (Stock),INSU,83.16004725864956,0.1930696735424655,0.0,1.0,4
"Insurance: Life, Health (Mutual)",,80.52244567871094,0.0765253271907568,0.063847616314888,1.0,2
Telecommunications,TELE,80.23432042048528,0.030573905947116706,0.08711665553542283,1.6923076923076923,4
Entertainment,ENTE,79.49704170227051,0.02903338149189949,0.1199093610048294,1.0,1
Food & Drug Stores,FOOD,71.21414642333984,0.04989440739154816,0.15607582926750183,1.0,3
Motor Vehicles & Parts,MOTO,70.84274673461914,0.0467668871084849,0.06705287843942642,1.0,3
Food Consumer Products,FOOD,68.00458526611328,-0.01193287642672658,0.05053177289664745,1.0,1
Commercial Banks,COMM,61.626548767089844,0.08004850869377454,0.07018366903066635,1.6,6
Pipelines,PIPE,59.09671190049913,0.004103898795114623,-0.046028400460879006,1.3333333333333333,3
Specialty Retailers: Apparel,SPEC,53.794020652770996,0.07842848682776093,0.07397213391959667,1.0,1
Pharmaceuticals,PHAR,52.06688620827415,0.02865348214452917,0.011145164174112406,1.2727272727272727,5
Specialty Retailers: Other,SPEC,51.04755554199219,0.009636643528938293,0.06334048211574554,1.0,3
General Merchandisers,GENE,47.56910069783529,0.04261325237651666,0.028516162186861038,1.0,3
Aerospace & Defense,,43.310053144182476,0.09622193021433693,0.0,1.0,4
Wholesalers: Health Care,,41.88191604614258,0.09717163071036339,0.0,1.0,3
"Mail, Package and Freight Delivery",,0.0,0.0,0.0,1.0,2
"Mining, Crude-Oil Production",MINI,0.0,0.0,0.0,1.0,1
Household and Personal Products,HOUS,0.0,0.0,0.0,1.0,1
Network and Other Communications Equipment,NETW,0.0,0.0,0.0,1.0,1
Health Care: Pharmacy and Other Services,,0.0,0.0,0.0,1.0,2
Health Care: Medical Facilities,HEAL,0.0,0.0,0.0,1.0,1
Food Production,FOOD,0.0,0.0,0.0,1.0,2
Construction and Farm Machinery,CONS,0.0,0.0,0.0,1.0,2
"Computers, Office Equipment",COMP,0.0,0.0,0.0,1.0,3
Semiconductors and Other Electronic Components,SEMI,0.0,0.0,0.0,1.0,3
Computer Software,COMP,0.0,0.0,0.0,1.0,2
Beverages,,0.0,0.0,0.0,1.0,1
Apparel,APPA,0.0,0.0,0.0,1.0,1
Airlines,AIRL,0.0,0.0,0.0,1.0,3
Wholesalers: Electronics and Office Equipment,WHOL,0.0,0.0,0.0,1.0,2
Wholesalers: Food and Grocery,,0.0,0.0,0.0,1.0,2
