Ticker,Company,Industry,AvgReturn,AvgVolatility,TradingDays
AVGO,Broadcom,,1.0465947729261482,4.924691873438218,34
TSLA,Tesla,Motor Vehicles & Parts,0.8863305147079861,6.373665080350988,34
DELL,Dell Technologies,"Computers, Office Equipment",0.8066025695160908,5.3363250073264625,34
BA,Boeing,"Aerospace, Defense",0.7007367514512118,4.2236716747283936,34
NVDA,Nvidia,Semiconductor And Electronics,0.6917043023687952,4.867898723658393,34
PFIZER.NS,Pfizer,Pharmaceutical,0.6832055310989099,1.2562902704361947,31
DAL,Delta Airlines,Airlines,0.6365171160329791,5.550751777256236,34
SNX,TD Synnex,Wholesalers,0.5748377102701103,3.4961378083509556,34
MSFT,Microsoft,Computer Software,0.5736981486244237,2.535593520192539,34
FNMA,Fannie Mae,Diversified Financials,0.5317637718775693,5.73420225872713,34
UAL,United Airlines,Airlines,0.5174009423867306,6.388334638932172,34
AAL,American Airlines,Metals & Mining,0.5153406385113212,5.650191433289471,34
INGM,Ingram Micro,,0.48534926333848166,3.8270423762938557,34
DIS,Walt Disney,Entertainment,0.4833730463595951,3.463438861510333,34
SNEX,StoneX,Diversified Financials,0.4654879578772713,3.1743005093406227,34
CHTR,Charter Communications,Telecommunications,0.44631408878109036,3.1703564840204574,34
ORCL,Oracle,Computer Software,0.42648060291129,3.570584774017334,34
MS,Morgan Stanley,Commercial Banks,0.40378138138090863,3.5719184524872722,34
CAH,Cardinal Health,Wholesalers,0.37588051947600704,1.8155055221389322,34
MPC,Marathon Petroleum,Petroleum Refining,0.35844121961032643,3.7491797664586235,34
