ticker,company,sector_name,sector_code,year,quarter,avg_return,total_volatility,correlation_gdp,correlation_inflation,currency_impact,sector_rank,sector_avg_return,outperforming_sector,recession_resilience_score
601336.SS,New York Life Insurance,Insurance,INSU,2024,2,0.445857491562239,59.43524374523335,0,0,0,1.0,0.0786002209300352,1,0.0
AAL,American Airlines Group,Metals & Mining,META,2024,2,0.05077047252507308,75.63847853350728,0,0,0,1.0,0.05077047252507308,0,0.0
AAPL,Apple,"Computers, Office Equipment",COMP,2024,2,0.370068682732207,49.55859288020541,0,0,0,2.0,0.513307879978205,0,0.0
ABBV,Abbvie,Pharmaceutical,PHAR,2024,2,-0.22915195599059898,60.56154215909156,0,0,0,4.0,-0.06638229898415013,0,0.0
ACI,Albertsons,Food & Drug Stores,FOOD,2024,2,-0.042141991718875935,21.687766021186956,0,0,0,1.0,-0.11126949554978302,1,0.0
ADM,Archer Daniels Midland,Food Production,FOOD,2024,2,-0.052199767270355545,38.56327394871646,0,0,0,2.0,-1.9259692692793704,1,0.0
AIG,Aig,Insurance,INSU,2024,2,0.03566034811257931,41.01922574638338,0,0,0,5.0,0.0786002209300352,0,0.0
ALL,Allstate,Insurance,INSU,2024,2,-0.06975639265813537,45.76178860390608,0,0,0,8.0,0.0786002209300352,0,0.0
AMZN,Amazon,Financial Services,FINA,2024,2,0.056397706552450064,51.463153793578385,0,0,0,1.0,0.056397706552450064,0,0.0
ATT.L,At&T,Telecommunications,TELE,2024,2,0.20527708325209928,50.822640244258906,0,0,0,1.0,-0.024854952337260136,1,0.0
AXP,American Express,Diversified Financials,DIVE,2024,2,0.22502837648439417,54.55936165679805,0,0,0,2.0,0.2175198937026086,1,0.0
BA,Boeing,"Aerospace, Defense",AERO,2024,2,-0.006470401646999876,45.61215273678101,0,0,0,3.0,0.09467191674979902,0,0.0
BAC,Bank Of America,Commercial Banks,COMM,2024,2,0.12278241963402814,48.6123404941228,0,0,0,4.0,0.1283105221727157,0,0.0
BBY,Best Buy,Specialty Retailers,SPEC,2024,2,-0.22292077589805936,49.64128055818544,0,0,0,4.0,-0.11283423552805999,0,0.0
C,Citigroup,Commercial Banks,COMM,2024,2,0.04878575506311578,50.12206185295498,0,0,0,5.0,0.1283105221727157,0,0.0
CAH,Cardinal Health,Wholesalers,WHOL,2024,2,-0.3385955219365071,38.4751977914054,0,0,0,6.0,-0.0650165317225132,0,0.0
CAT,Caterpillar,Construction And Farm Machinery,CONS,2024,2,0.01267179159413575,64.71587215804311,0,0,0,1.0,-0.03390634509508171,1,0.0
CHS.V,Chs,Food Production,FOOD,2024,2,-5.882352941176471,322.1310028195025,0,0,0,3.0,-1.9259692692793704,0,0.0
CHTR,Charter Communications,Telecommunications,TELE,2024,2,-0.017622939968708007,51.56115289353431,0,0,0,2.0,-0.024854952337260136,1,0.0
CI,Cigna,Health Care,HEAL,2024,2,-0.23966231686746106,24.56816853862251,0,0,0,5.0,0.13536017743599885,0,0.0
CMCSA,Comcast,Telecommunications,TELE,2024,2,-0.17280304067657484,40.00258055903503,0,0,0,4.0,-0.024854952337260136,0,0.0
CNC,Centene,Health Care,HEAL,2024,2,0.20289797121434583,40.32745936905435,0,0,0,4.0,0.13536017743599885,1,0.0
COF,Capital One Financial,Commercial Banks,COMM,2024,2,-0.056486058616613356,41.26054242493554,0,0,0,7.0,0.1283105221727157,0,0.0
