Ticker,Company,Sector,CurrencyCorrelation,AvgReturn
EPD,Enterprise Products Partners,,0.06495849788188934,0.08650789099435012
PG,Procter & Gamble,Household And Personal Products,0.05342024937272072,0.07817794010043144
CAH,Cardinal Health,Wholesalers,0.04966525174677372,0.04742690920829773
PGR,Progressive,Insurance,0.0392726082354784,0.19546534190885723
ET,Energy Transfer,Pipelines,0.03725281823426485,0.09050379740074277
PAGP,Plains Gp Holdings,Pipelines,0.03193648438900709,0.08668728196062148
CHS.V,Chs,Food Production,0.030674312263727188,-0.42632728815078735
UNH,Unitedhealth Group,Health Care: Insurance and Managed Care,0.0306430384516716,0.07080301145712535
XOM,Exxon Mobil,Petroleum Refining,0.030132520012557507,0.08078501443378627
601336.SS,New York Life Insurance,Insurance,0.024832360446453094,0.18467715242877603
DIS,Walt Disney,Entertainment,0.024752486497163773,0.0416099950671196
VZ,Verizon Communications,Telecommunications,0.024694391526281834,0.0966848450480029
FDX,Fedex,"Mail, Package, And Freight Delivery",0.022029819432646036,0.05537066236138344
MCK,Mckesson,Wholesalers: Health Care,0.01787436380982399,0.05301572382450104
WMT,Walmart,General Merchandisers,0.017781063448637724,0.17978814989328384
UAL,United Airlines Holdings,Airlines,0.01703732879832387,0.15839981473982334
LFG.AX,Liberty Mutual Insurance Group,,0.015744831413030624,-0.03981944794456164
CHTR,Charter Communications,,0.012468741275370121,-0.06955481817324956
ALL,Allstate,,0.01080500241369009,0.17980567862590155
MPC,Marathon Petroleum,Petroleum Refining,0.008333911187946796,0.05940372124314308
