Ticker,Company,Sector,CurrencyCorrelation,AvgReturn
CVS,CVS Health,Health Care,0.12616176903247833,0.3308514207601547
CVS,Cvs,Health Care,0.12616176903247833,-0.22819637755552927
COR,Cencora,Wholesalers,0.1202920451760292,0.08856233935803175
MPC,Marathon Petroleum,Petroleum Refining,0.09240420907735825,-0.022158271074295043
CI,Cigna,Health Care,0.0921843945980072,-0.016312627494335173
CAH,Cardinal Health,Wholesalers,0.08736132085323334,0.1530357137322426
HCA,HCA Healthcare,Health Care: Medical Facilities,0.08703289180994034,0.09918543510138988
ELV,Elevance Health,Health Care,0.0750039592385292,-0.047666127979755404
PSX,Phillips 66,Petroleum Refining,0.07365813851356506,-0.06645450815558433
VLO,Valero Energy,Petroleum Refining,0.07171989232301712,-0.045348328351974485
INTC,Intel,Semiconductor And Electronics,0.06468451768159866,-0.16317939311265944
DE,Deere,Construction And Farm Machinery,0.0570174939930439,0.13577014431357384
MCK,McKesson,Wholesalers,0.056778695434331894,0.13170332014560698
VZ,Verizon,Telecommunications,0.05655200034379959,0.1272711488418281
VZ,Verizon Communications,Telecommunications,0.05655200034379959,-0.005041177074114482
COLA.WA,Coca-Cola,Beverage,0.055949240922927856,0.0574281836549441
ACI,Albertsons,Food & Drug Stores,0.05528990924358368,0.03952227011322975
F,Ford Motor,Motor Vehicles & Parts,0.05430489033460617,0.011015881597995759
JNJ,Johnson & Johnson,Pharmaceutical,0.049402546137571335,-0.007657456398010254
BA,Boeing,"Aerospace, Defense",0.04415547847747803,0.11538895368576049
