quarter,GDP,inflation,unemployment,interest_rate,consumer_spending,industrial_production,housing_starts,retail_sales,year
1996-Q1,7868.468,155.0667,5.5333,5.3633,5130.6,73.2353,1460.6667,186816.3333,1996
1996-Q2,8032.84,156.4,5.5,5.2433,5220.5333,74.812,1495.6667,190427.3333,1996
1996-Q3,8131.408,157.3,5.2667,5.3067,5274.5,75.7866,1501.3333,191851.6667,1996
1996-Q4,8259.771,158.6667,5.3333,5.28,5352.7667,76.8301,1417.0,195199.3333,1996
1997-Q1,8362.655,159.6333,5.2333,5.2767,5433.1,78.2862,1432.6667,198896.6667,1997
1997-Q2,8518.825,160.0,5.0,5.5233,5471.2333,79.4038,1476.0,197820.0,1997
1997-Q3,8662.823,160.8,4.8667,5.5333,5579.1667,81.2606,1457.6667,202211.6667,1997
1997-Q4,8765.907,161.6667,4.6667,5.5067,5663.6333,83.3255,1532.0,203223.3333,1997
2008-Q1,14706.538,212.7697,5.0,3.1767,10004.4667,101.7919,1064.0,328946.6667,2008
2008-Q2,14865.701,215.5377,5.3333,2.0867,10129.9,100.2539,1010.6667,330296.3333,2008
2008-Q3,14898.999,218.861,6.0,1.94,10159.0667,96.942,862.3333,326388.3333,2008
2008-Q4,14608.209,213.8487,6.8667,0.5067,9906.9333,92.7956,663.0,297311.6667,2008
2020-Q1,21751.238,258.8177,3.8333,1.26,14503.0667,100.205,1465.3333,438900.0,2020
2020-Q2,19958.291,256.292,13.0,0.06,13193.3,87.4555,1080.3333,424684.3333,2020
2020-Q3,21704.437,259.2217,8.8,0.0933,14479.1667,95.6082,1465.0,476090.3333,2020
2020-Q4,22087.16,261.0917,6.7667,0.09,14749.8,97.2275,1566.6667,481597.0,2020
2021-Q1,22680.693,263.6863,6.2333,0.08,15255.4,97.5045,1576.6667,510005.3333,2021
2021-Q2,23425.91,268.5797,5.9333,0.07,16027.5667,99.0556,1578.0,539646.6667,2021
2021-Q3,23982.379,272.8863,5.0667,0.09,16380.7333,99.7012,1589.3333,532576.0,2021
