ticker,company,sector_name,sector_code,year,quarter,avg_return,avg_volatility,correlation_gdp,correlation_inflation,currency_impact,sector_rank,sector_avg_return,outperforming_sector,recession_resilience_score
601336.SS,New York Life Insurance,"Insurance: Life, Health (Mutual)",INSU,2025,4,-0.25211319139477106,1.8055557805094742,0,0,-1.0645054489650946e-17,2.0,-0.20944866885596553,0,0
AAL,American Airlines,Airlines,AIRL,2025,4,0.06534640891779672,3.2544428873108227,0,0,1.295530208935161e-17,2.0,0.09624115018175254,0,0
ABBV,AbbVie,Pharmaceuticals,PHAR,2025,4,0.09146588155781123,1.7108456042214761,0,0,2.1990873018928867e-17,4.0,0.48608813673649853,0,0
ACI,Albertsons,Food & Drug Stores,FOOD,2025,4,-0.18465308065165847,1.0361651144147788,0,0,-3.1914927827160534e-17,2.0,-0.13849097987272632,0,0
ADM,Archer Daniels Midland,Food Production,FOOD,2025,4,-0.10675739727850325,1.6333720640586569,0,0,1.9274511643955855e-17,2.0,0.1672559867523222,0,0
ALL,Allstate,Insurance: Property and Casualty (Stock),INSU,2025,4,0.44303170662924757,0.9915859616303083,0,0,-1.8314579430170414e-17,2.0,0.3916016065897597,1,0
AMZN,Amazon,Internet Services and Retailing,INTE,2025,4,0.09459904185594172,3.0278401470192295,0,0,-3.487488602425827e-18,2.0,0.08309295972087101,1,0
APLE,Apple,"Computers, Office Equipment",COMP,2025,4,0.1586803231965147,1.3461245165879834,0,0,0.0,2.0,-0.16715642953394952,1,0
ATT.L,AT&T,Telecommunications,TELE,2025,4,-0.1355639629722151,1.6053570304866924,0,0,1.875541958434693e-17,2.0,-0.3203108087160399,1,0
AVGO,Broadcom,Semiconductors and Other Electronic Components,SEMI,2025,4,0.32815859948092874,2.36633519764008,0,0,1.2831723143247235e-17,1.0,-0.13036370358870192,1,0
AXP,American Express,Diversified Financials,DIVE,2025,4,0.02296513025015835,0.8132924662157893,0,0,0.0,1.0,-0.40232973302746666,1,0
BA,Boeing,Aerospace & Defense,AERO,2025,4,-0.8892443905903229,2.188602303651898,0,0,-8.35786997107977e-17,4.0,-0.3848595988871921,0,0
BAC,Bank of America,Commercial Banks,COMM,2025,4,-0.040339153616491416,0.8376786550603683,0,0,3.6431863823876193e-17,4.0,-0.031242095659145003,0,0
CAH,Cardinal Health,Wholesalers: Health Care,WHOL,2025,4,1.2636912901274833,4.041764517393379,0,0,1.0076106917499732e-16,1.0,0.7326143517119618,1,0
CAT,Caterpillar,Construction and Farm Machinery,CONS,2025,4,0.3712210901043349,3.821690908423491,0,0,1.3630850482928992e-17,1.0,0.28216292162977347,1,0
CHTR,Charter Communications,Telecommunications,TELE,2025,4,-0.881134562462612,2.342554015360834,0,0,-5.77739508779895e-17,4.0,-0.3203108087160399,0,0
CI,Cigna,Health Care: Pharmacy and Other Services,HEAL,2025,4,-0.37752396490009943,5.130107353257454,0,0,-2.809615828236882e-17,2.0,-0.29415013737090767,0,0
CITI.NE,Citi,Commercial Banks,COMM,2025,4,0.026933616745178277,1.160282585617776,0,0,1.9373685906372596e-17,1.0,-0.031242095659145003,1,0
CMCSA,Comcast,Telecommunications,TELE,2025,4,-0.4274539832859791,1.8580940754637851,0,0,5.673558379629873e-18,3.0,-0.3203108087160399,0,0
CNC,Centene,Health Care: Insurance and Managed Care,HEAL,2025,4,0.9057608781198357,4.826341026257502,0,0,-1.9195612358947465e-17,1.0,0.08985936279496157,1,0
COLA.WA,Coca-Cola,Beverages,BEVE,2025,4,0.25249259624754244,1.209013425430392,0,0,0.0,1.0,0.25249259624754244,0,0
COP,ConocoPhillips,"Mining, Crude-Oil Production",MINI,2025,4,-0.055155791565102176,1.3792184305388118,0,0,0.0,1.0,-0.055155791565102176,0,0
COR,Cencora,Wholesalers: Health Care,WHOL,2025,4,0.5092834242146224,1.0505338616533615,0,0,0.0,2.0,0.7326143517119618,0,0
COST,Costco,General Merchandisers,GENE,2025,4,-0.1655449206750576,0.92334418119489,0,0,-8.124032524955809e-17,2.0,-0.1728850834561697,1,0
CSCO,Cisco Systems,Network and Other Communications Equipment,NETW,2025,4,0.32074723422109963,1.696324410407834,0,0,0.0,1.0,0.32074723422109963,0,0
CVS,CVS Health,Health Care: Pharmacy and Other Services,HEAL,2025,4,-0.2107763098417159,1.7194179678304762,0,0,4.8693925120819944e-17,1.0,-0.29415013737090767,1,0
CVX,Chevron,Petroleum Refining,PETR,2025,4,-0.14431517294934337,1.2072527336569083,0,0,1.7106320782448263e-17,5.0,-0.040423213953299494,0,0
DAL,Delta Airlines,Airlines,AIRL,2025,4,0.16914216800187465,2.807147209136424,0,0,3.439355687460436e-17,1.0,0.09624115018175254,1,0
DE,Deere,Construction and Farm Machinery,CONS,2025,4,0.193104753155212,1.2043859057968365,0,0,3.576754046675647e-17,2.0,0.28216292162977347,0,0
DELL,Dell Technologies,"Computers, Office Equipment",COMP,2025,4,-1.1068066475743257,1.749384772888515,0,0,1.4940361354494708e-17,3.0,-0.16715642953394952,0,0
DIS,Walt Disney,Entertainment,ENTE,2025,4,-0.35942010000168656,1.3798735374102105,0,0,0.0,1.0,-0.35942010000168656,0,0
ELV,Elevance Health,Health Care: Insurance and Managed Care,HEAL,2025,4,-0.059059438607112984,1.801330206112374,0,0,-5.509838657954851e-17,3.0,0.08985936279496157,0,0
EPD,Enterprise Products Partners,Pipelines,PIPE,2025,4,0.27639203055972406,0.7871370008458449,0,0,0.0,2.0,0.16119364489349625,1,0
ET,Energy Transfer,Pipelines,PIPE,2025,4,-0.08069456768007478,0.8551354365416702,0,0,2.7525799445750185e-17,3.0,0.16119364489349625,0,0
