SectorName,SectorCode,AvgVolatility,AvgReturn,Resilience,AvgRank
Computer And Data Services,COMP,3.1424316423279897,0.159942031393127,0.0,1.0
Diversified Financials,DIVE,2.926913139196711,0.09605699543864679,0.09939203226785047,2.376146788990826
"Automotive Retailing, Services",AUTO,2.412815267841021,0.05456407859067743,0.0,1.0
Metals,META,2.396380233267943,0.05350259365513921,0.28405365347862244,1.0
Semiconductors and Other Electronic Components,SEMI,2.246758439640204,0.06020615674788132,0.08064249157905579,1.0
Securities,SECU,2.238117864355445,0.07821522466929309,0.20726201605672637,1.3958333333333333
Network and Other Communications Equipment,NETW,2.153406843150917,0.04260371972812113,0.1793729819749531,1.2105263157894737
Motor Vehicles & Parts,MOTO,2.0576545287939636,0.04728301145455176,0.32800918140194635,1.3181818181818181
Commercial Banks,COMM,2.0103971476948588,0.05674307888673849,0.09307720932528513,2.4311926605504586
"Insurance: Life, Health (Stock)",INSU,1.961512922030415,0.06458542861780424,0.18398983458879636,1.4923857868020305
Industrial and Farm Equipment,INDU,1.911221767961979,0.08057399941317271,0.15831683576107025,1.0
Forest and Paper Products,FORE,1.9051795033738017,0.04101355493912706,0.1569787748157978,1.25
Energy,ENER,1.8680021746291056,0.04437089884757168,0.0,1.2222222222222223
Petroleum Refining,PETR,1.8625780500662632,0.06781209129593872,-0.04451725651056339,1.8846153846153846
Specialty Retailers,SPEC,1.855238317180488,0.0679020197150394,0.12094861698352684,1.7457627118644068
Aerospace & Defense,AERO,1.808544929309558,0.07676565495691443,0.2047097623793869,2.150537634408602
Health Care,HEAL,1.7985751805482086,0.08346099499666942,0.11094945669174194,1.0
Food Production,FOOD,1.7937105168466982,0.056307532133043584,0.05579827353358269,1.0
Insurance: Property and Casualty (Stock),INSU,1.780427940446755,0.04062550365804406,0.025933931292644864,1.4827586206896552
Food & Drug Stores,FOOD,1.7498181914644582,0.050837974535949924,0.021637422631361654,1.9955357142857142
Wholesalers: Health Care,WHOL,1.747432706611497,0.06536361293391175,0.14802320767194033,1.4821428571428572
"Electronics, Electrical Equipment",ELEC,1.6901933699846268,0.042108066321816295,0.0,1.0
Computer Software,COMP,1.683238736138894,0.056075751463560246,0.20122554898262024,1.0
General Merchandisers,GENE,1.67652000692384,0.06709136453167142,0.11184862333125081,1.4827586206896552
Entertainment,ENTE,1.6756950885784336,0.042925718729881136,0.12717900770466503,1.2926829268292683
"Mail, Package, and Freight Delivery",MAIL,1.601125264228298,0.04292762957910445,0.14331450937363097,1.4517766497461928
"Computers, Office Equipment",COMP,1.5600325047969819,0.060013744706399544,0.1172349825501442,1.0
Telecommunications,TELE,1.4684015743826564,0.04613111889078649,0.11075806328536648,1.881578947368421
Wholesalers: Food and Grocery,WHOL,1.438605216556582,0.05325842012273919,0.08260854333639145,1.0
Pharmaceuticals,PHAR,1.4319185959914373,0.06208875189949857,0.0689388754821959,2.164021164021164
Tobacco,TOBA,1.3965288201967876,0.06489891756791621,0.0,1.0
Food Consumer Products,FOOD,1.3173987433696404,0.042912204208103225,0.051827459381176874,1.2307692307692308
