
********** ELT PROCESS **********
Filename: currency data processor
User ID: 800338
Username: Shalini Tata
File Path: /Users/shalinitata/Desktop/Currency data/watcher.py
********** currency data processor **********
2025-11-24 12:04:16,064 - INFO - -> started running the process <-
2025-11-24 12:04:16,076 - INFO - 
============================================================
2025-11-24 12:04:16,076 - INFO - Fetching LIVE data for 2025
2025-11-24 12:04:16,076 - INFO - Date: 2025-11-24
2025-11-24 12:04:16,076 - INFO - ============================================================
2025-11-24 12:04:16,077 - INFO - Total companies with tickers: 96
2025-11-24 12:04:16,078 - INFO - Today's data already exists — skipping
2025-11-24 12:04:16,078 - INFO - 
============================================================
2025-11-24 12:04:16,078 - INFO - Creating LIVE company metadata for 2025
2025-11-24 12:04:16,078 - INFO - ============================================================
2025-11-24 12:04:16,078 - INFO - Metadata already exists — skipping
2025-11-24 12:04:16,078 - INFO - 
============================================================
2025-11-24 12:04:16,078 - INFO - Creating LIVE macro data for 2025
2025-11-24 12:04:16,078 - INFO - ============================================================
2025-11-24 12:04:16,078 - INFO - Current year data already exists — skipping
2025-11-24 12:04:16,078 - INFO - Sentiment already exists — skipping
2025-11-24 12:04:16,078 - INFO - 
============================================================
2025-11-24 12:04:16,078 - INFO - Fetching LIVE exchange rates (USD-INR) from FRED for 2025
2025-11-24 12:04:16,078 - INFO - ============================================================
2025-11-24 12:04:16,078 - INFO - Current year data already exists — skipping
2025-11-24 12:04:16,078 - INFO - ============================================================
2025-11-24 12:04:16,078 - INFO - Starting merge process
2025-11-24 12:04:16,078 - INFO - Mode: Live
2025-11-24 12:04:16,078 - INFO - Execution dir: /Users/shalinitata/Desktop/stocks/Execution/2025/11/24/20251124_120416
2025-11-24 12:04:16,078 - INFO - ============================================================
2025-11-24 12:04:16,078 - INFO - Processing company_metadata
2025-11-24 12:04:16,079 - INFO - Read 93 rows from company_metadata
2025-11-24 12:04:16,079 - ERROR - Row 0 col revenue: type conversion failed for $681,000,000,000
2025-11-24 12:04:16,079 - ERROR - Row 0 col employees: type conversion failed for 2,100,000
2025-11-24 12:04:16,079 - ERROR - Row 1 col revenue: type conversion failed for $638,000,000,000
2025-11-24 12:04:16,079 - ERROR - Row 1 col employees: type conversion failed for 1,556,000
2025-11-24 12:04:16,079 - ERROR - Row 2 col revenue: type conversion failed for $400,300,000,000
2025-11-24 12:04:16,079 - ERROR - Row 2 col employees: type conversion failed for 400,000
2025-11-24 12:04:16,079 - ERROR - Row 3 col revenue: type conversion failed for $391,000,000,000
2025-11-24 12:04:16,079 - ERROR - Row 3 col employees: type conversion failed for 164,000
2025-11-24 12:04:16,079 - ERROR - Row 4 col revenue: type conversion failed for $372,800,000,000
2025-11-24 12:04:16,079 - ERROR - Row 4 col employees: type conversion failed for 259,500
2025-11-24 12:04:16,080 - ERROR - Row 5 col revenue: type conversion failed for $350,000,000,000
2025-11-24 12:04:16,080 - ERROR - Row 5 col employees: type conversion failed for 183,300
2025-11-24 12:04:16,080 - ERROR - Row 6 col revenue: type conversion failed for $349,600,000,000
2025-11-24 12:04:16,080 - ERROR - Row 6 col employees: type conversion failed for 60,900
2025-11-24 12:04:16,080 - ERROR - Row 7 col revenue: type conversion failed for $309,000,000,000
2025-11-24 12:04:16,080 - ERROR - Row 7 col employees: type conversion failed for 48,000
