company,ticker,date,open,high,low,close,volume
"Wal-Mart Stores, Inc.",WMT,2005-03-11,11.49,11.49,11.32,11.35,27745800
Exxon Mobil Corporation,XOM,2005-03-11,30.13,30.74,30.03,30.47,24561500
Ford Motor Company,F,2005-03-11,6.05,6.07,5.96,5.97,5273100
General Electric Company,GE,2005-03-11,104.36,104.68,103.55,103.76,2749269
ConocoPhillips,COP,2005-03-11,20.15,20.61,20.15,20.29,9200902
"Citigroup, Inc.",C,2005-03-11,301.22,301.85,296.97,298.97,1198730
"American International Group,Inc.",AIG,2005-03-11,788.85,789.81,778.13,779.33,424645
International Business Machines Corporation,IBM,2005-03-11,47.24,47.32,46.7,46.86,4701038
Verizon Communications Inc.,VZ,2005-03-11,11.37,11.41,11.27,11.31,6778879
McKesson Corporation,MCK,2005-03-11,32.34,32.61,32.21,32.21,1980200
"Cardinal Health, Inc.",CAH,2005-03-11,26.0,26.15,25.9,25.96,841800
"Altria Group, Inc.",MO,2005-03-11,4.46,4.49,4.45,4.47,6327800
Bank of America Corporation,BAC,2005-03-11,29.09,29.22,28.87,29.01,7595000
J.P. Morgan Chase & Co.,JPM,2005-03-11,20.9,20.97,20.75,20.81,9297300
The Kroger Company,KR,2005-03-11,5.63,5.71,5.61,5.62,6793000
Valero Energy Corporation,VLO,2005-03-11,17.64,17.8,17.41,17.63,18404581
Pfizer Inc.,PFIZER.NS,2005-03-11,406.59,408.81,403.27,407.23,33070
Boeing,BA,2005-03-11,40.68,40.95,40.23,40.43,3275100
Target Corporation,TGT,2005-03-11,31.82,32.03,31.57,31.6,2583600
Costco Wholesale Corporation,COST,2005-03-11,30.31,30.58,30.13,30.31,2518300
Johnson & Johnson,JNJ,2005-03-11,37.74,37.87,37.45,37.51,5807000
Time Warner Inc.,T,2005-03-11,4.22,4.24,4.18,4.19,8165373
Morgan Stanley,MS,2005-03-11,31.87,31.89,30.85,31.15,5528800
"MetLife, Inc.",MET,2005-03-11,21.03,21.05,20.64,20.7,1259445
"UnitedHealth Group, Incorporated",UNH,2005-03-11,35.99,36.12,35.26,35.32,4051400
Microsoft Corporation,MSFT,2005-03-11,17.59,17.61,17.32,17.34,60617900
"United Parcel Service, Inc.",UPS,2005-03-11,39.85,39.99,39.27,39.4,2442600
Lockheed Martin Corporation,LMT,2005-03-11,33.62,33.73,33.22,33.25,3969800
"Motorola, Inc.",MSI,2005-03-11,47.25,47.28,45.75,45.84,2656871
Intel Corporation,INTC,2005-03-11,14.54,14.56,13.92,14.04,114213100
The Allstate Corporation,ALL,2005-03-11,33.13,33.13,32.87,32.98,1728900
Wells Fargo & Company,WFC,2005-03-11,17.04,17.08,16.82,16.88,6568800
The Walt Disney Company,DIS,2005-03-11,22.46,22.53,21.94,22.03,6969184
CVS Corporation,CVS,2005-03-11,17.44,17.51,17.39,17.46,3864000
AT&T Corp.,ATT.L,2005-03-11,20.67,20.67,20.67,20.67,0
"Caterpillar, Inc.",CAT,2005-03-11,29.32,29.71,29.19,29.54,5681600
Northrop Grumman Corporation,NOC,2005-03-11,31.83,31.98,31.61,31.71,1272496
"The Goldman Sachs Group, Inc.",TGS,2005-03-11,2.78,2.82,2.67,2.73,29400
Sysco Corporation,SYY,2005-03-11,18.84,19.0,18.68,18.72,1313600
"PepsiCo, Inc.",PEP,2005-03-11,29.81,29.84,29.41,29.53,2863400
American Express Company,AXP,2005-03-11,34.83,34.83,34.22,34.47,5017937
"Prudential Financial, Inc.",PRU,2005-03-11,29.17,29.35,28.82,29.01,1487200
International Paper Company,IP,2005-03-11,16.73,16.99,16.73,16.94,3136648
"Johnson Controls, Inc.",JCI,2005-03-11,36.34,36.59,35.93,36.08,3449460
"Tyson Foods, Inc.",TSN,2005-03-11,12.14,12.34,12.09,12.34,1420300
Honeywell International Inc.,HON,2005-03-11,21.77,22.0,21.61,21.7,5524966
Best Buy Co. Inc.,BBY,2005-03-11,19.96,19.96,19.59,19.78,4530600
FedEx Corporation,FDX,2005-03-11,80.6,81.47,80.37,81.09,1013600
"Alcoa, Inc.",AA,2005-03-11,57.8,58.82,57.59,58.49,1838036
"Merck & Co., Inc.",MRK,2005-03-11,14.77,14.79,14.65,14.72,6419629
Duke Energy,DUK,2005-03-11,18.7,18.73,18.49,18.5,1416394
The Hartford Financial Services Group Inc.,HFF.BE,2005-03-11,37.68,37.68,37.68,37.68,0
Weyerhaeuser Company,WY,2005-03-11,12.5,12.66,12.47,12.56,1032900
"Cisco Systems, Inc.",CSCO,2005-03-11,12.15,12.23,11.85,12.0,55821100
"Lehman Brothers Holdings, Inc.",LEHNQ,2005-03-11,19.23,19.24,18.97,19.02,84400
Electronic Data Systems,EA,2005-03-11,66.14,66.81,65.63,65.87,2577200
"Plains All American Pipeline, L.P.",PAA,2005-03-11,4.84,4.84,4.75,4.83,95800
Abbott Laboratories,ABT,2005-03-11,13.76,13.78,13.69,13.7,5496040
Halliburton Company,HAL,2005-03-11,14.72,15.12,14.67,14.77,16989400
